profID,layer_thickness,density_combined,wl_index,wl_thickness,layers_above_wl,layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,approximate_critical_loads,density_above_wl,snow_profiles,RB_class,region,nbr_layers,layers_above_wl,density_above_wl
22693,"[30.0, 22.0, 33.0, 24.0, 3.0, 1.0, 12.0, 4.0, 10.699999999999989, 0.30000000000001137, 9.0, 3.0]","[196.0, 133.0, 175.0, 133.0, 189.0, 275.9375, 133.0, 292.25, 159.41582238929536, 292.25, 141.8825, 292.25]",3,24.0,"[3.0, 1.0, 12.0, 4.0, 10.699999999999989, 0.30000000000001137, 9.0, 3.0]","[30.0, 52.0, 85.0, 109.0, 112.0, 113.0, 125.0, 129.0, 139.7, 140.0, 149.0, 152.0]","[0.0, 30.0, 52.0, 85.0, 109.0, 112.0, 113.0, 125.0, 129.0, 139.7, 140.0, 149.0]","[2.5, 1.0, 2.0, 1.0, 2.0, 2.5, 1.0, 4.0, 1.5, 2.5, 1.0, 2.5]","[9, 9, 9, 9, 7, 7, 9, 7, 3, 7, 3, 7]","[9, 9, 9, 9, 4, 4, 9, 7, 3, 7, 2, 7]","[0.75, 1.0, 0.75, 1.0, 1.0, 1.0, 0.75, 1.0, 0.5, 0.5, 0.5, 1.0]","[1.25, 2.0, 1.5, 1.5, 2.0, 2.0, 1.5, 1.5, 0.5, 1.0, 0.75, 2.0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",2008-02-12 13:00,33.0,5,2.0,109.0,3.0,1.0,197.7469839309005,"[189.0, 275.9375, 133.0, 292.25, 159.41582238929536, 292.25, 141.8825, 292.25]","[(189.0, 30.0), (275.9375, 10.0), (133.0, 120.0), (292.25, 40.0), (159.41582238929536, 106.99999999999989), (292.25, 3.0000000000001137), (141.8825, 90.0), (292.25, 30.0)]",3.0,1,8,"[3.0, 1.0, 12.0, 4.0, 10.699999999999989, 0.30000000000001137, 9.0, 3.0]","[189.0, 275.9375, 133.0, 292.25, 159.41582238929536, 292.25, 141.8825, 292.25]"
22710,"[10.0, 10.0, 30.0, 13.0, 14.0, 2.0, 1.0, 5.0, 4.5, 1.5, 7.5, 1.5, 10.0, 12.0, 1.0]","[190.75, 238.0, 196.0, 175.0, 152.25, 190.75, 275.9375, 175.0, 133.0, 281.6875, 157.3775, 292.25, 149.3118667919715, 155.51, 275.9375]",5,2.0,"[1.0, 5.0, 4.5, 1.5, 7.5, 1.5, 10.0, 12.0, 1.0]","[10.0, 20.0, 50.0, 63.0, 77.0, 79.0, 80.0, 85.0, 89.5, 91.0, 98.5, 100.0, 110.0, 122.0, 123.0]","[0.0, 10.0, 20.0, 50.0, 63.0, 77.0, 79.0, 80.0, 85.0, 89.5, 91.0, 98.5, 100.0, 110.0, 122.0]","[1.0, 3.5, 2.5, 2.0, 1.0, 1.0, 2.5, 2.0, 1.0, 3.0, 1.0, 2.5, 1.5, 1.0, 2.5]","[5, 9, 9, 9, 9, 5, 7, 9, 9, 7, 4, 7, 3, 3, 7]","[9, 9, 9, 9, 5, 9, 4, 9, 9, 4, 3, 7, 2, 3, 4]","[2.0, 0.75, 1.5, 1.5, 1.5, 2.0, 1.0, 0.75, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[4.0, 1.5, 2.5, 2.5, 2.5, 3.0, 1.5, 1.25, 1.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",2008-02-12 14:00,28.0,4,2.0,79.0,3.0,1.0,131.83132262060033,"[275.9375, 175.0, 133.0, 281.6875, 157.3775, 292.25, 149.3118667919715, 155.51, 275.9375]","[(275.9375, 10.0), (175.0, 50.0), (133.0, 45.0), (281.6875, 15.0), (157.3775, 75.0), (292.25, 15.0), (149.3118667919715, 100.0), (155.51, 120.0), (275.9375, 10.0)]",3.0,1,9,"[1.0, 5.0, 4.5, 1.5, 7.5, 1.5, 10.0, 12.0, 1.0]","[275.9375, 175.0, 133.0, 281.6875, 157.3775, 292.25, 149.3118667919715, 155.51, 275.9375]"
22730,"[10.0, 10.0, 25.0, 25.0, 7.0, 8.0, 10.0, 21.0, 2.0, 2.0, 7.0, 9.0, 4.0, 5.0, 2.0, 15.0, 13.0]","[190.75, 238.0, 196.0, 175.0, 238.0, 133.0, 225.25, 174.25, 151.75, 192.55248685625125, 181.0, 214.05538713582197, 158.0, 214.05538713582197, 158.0, 214.05538713582197, 156.1325]",14,2.0,"[15.0, 13.0]","[10.0, 20.0, 45.0, 70.0, 77.0, 85.0, 95.0, 116.0, 118.0, 120.0, 127.0, 136.0, 140.0, 145.0, 147.0, 162.0, 175.0]","[0.0, 10.0, 20.0, 45.0, 70.0, 77.0, 85.0, 95.0, 116.0, 118.0, 120.0, 127.0, 136.0, 140.0, 145.0, 147.0, 162.0]","[1.0, 3.5, 2.5, 2.0, 3.5, 1.0, 3.0, 1.5, 1.0, 2.5, 1.5, 3.0, 1.0, 3.0, 1.0, 3.0, 1.0]","[5, 9, 9, 9, 9, 9, 9, 4, 4, 3, 4, 3, 4, 3, 4, 3, 3]","[9, 9, 9, 9, 9, 9, 4, 9, 9, 4, 4, 4, 4, 4, 4, 4, 4]","[2.5, 1.0, 1.0, 1.0, 1.0, 2.0, 0.75, 0.75, 1.0, 0.5, 0.75, 0.5, 0.5, 0.5, 0.75, 0.25, 0.75]","[4.0, 1.5, 1.5, 2.0, 1.5, 3.0, 1.5, 1.5, 2.0, 0.75, 1.0, 0.75, 1.0, 1.0, 1.5, 0.75, 0.75]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-02-12 15:00,33.0,3,2.0,147.0,2.0,1.0,100.9123351677189,"[214.05538713582197, 156.1325]","[(214.05538713582197, 150.0), (156.1325, 130.0)]",2.0,1,2,"[15.0, 13.0]","[214.05538713582197, 156.1325]"
22731,"[12.0, 13.0, 23.0, 12.0, 7.0, 30.0, 3.0, 4.0, 11.0, 4.0, 1.0, 20.0]","[190.75, 238.0, 217.0, 175.0, 152.25, 196.0, 139.25, 182.25, 197.0, 171.0, 167.40359922257957, 156.1325]",8,11.0,"[4.0, 1.0, 20.0]","[12.0, 25.0, 48.0, 60.0, 67.0, 97.0, 100.0, 104.0, 115.0, 119.0, 120.0, 140.0]","[0.0, 12.0, 25.0, 48.0, 60.0, 67.0, 97.0, 100.0, 104.0, 115.0, 119.0, 120.0]","[1.0, 3.5, 3.0, 2.0, 1.0, 2.5, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0]","[5, 9, 9, 9, 9, 9, 9, 9, 5, 4, 3, 3]","[9, 9, 9, 9, 5, 9, 4, 4, 4, 5, 3, 4]","[2.0, 0.75, 1.0, 1.0, 1.25, 0.75, 1.0, 1.0, 1.5, 1.0, 0.5, 0.5]","[4.0, 1.5, 1.5, 2.0, 3.0, 1.5, 2.0, 1.0, 3.0, 2.0, 0.5, 0.75]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-02-12 16:00,33.0,4,2.0,115.0,3.0,1.3,131.83132262060033,"[171.0, 167.40359922257957, 156.1325]","[(171.0, 40.0), (167.40359922257957, 10.0), (156.1325, 200.0)]",3.0,1,3,"[4.0, 1.0, 20.0]","[171.0, 167.40359922257957, 156.1325]"
22870,"[35.0, 10.0, 19.0, 2.0, 1.0, 14.0, 5.0, 6.0, 7.0, 8.0, 16.900000000000006, 0.09999999999999432]","[210.0, 272.875, 210.0, 211.75, 227.0, 204.0, 202.0738495144293, 159.41582238929536, 272.9777961056527, 181.06998247500167, 141.8825, 159.41582238929536]",8,7.0,"[8.0, 16.900000000000006, 0.09999999999999432]","[35.0, 45.0, 64.0, 66.0, 67.0, 81.0, 86.0, 92.0, 99.0, 107.0, 123.9, 124.0]","[0.0, 35.0, 45.0, 64.0, 66.0, 67.0, 81.0, 86.0, 92.0, 99.0, 107.0, 123.9]","[1.0, 3.5, 1.0, 2.0, 2.5, 2.0, 3.0, 1.5, 4.0, 2.5, 1.0, 1.5]","[5, 4, 5, 4, 4, 4, 3, 3, 3, 3, 3, 3]","[5, 5, 5, 5, 4, 4, 3, 3, 3, 3, 2, 3]","[2.0, 1.0, 2.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25]","[3.0, 2.0, 2.0, 1.5, 1.0, 1.5, 0.5, 0.5, 0.25, 0.5, 1.0, 0.25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-02-12 15:00,34.0,4,2.0,99.0,3.0,2.0,131.83132262060033,"[181.06998247500167, 141.8825, 159.41582238929536]","[(181.06998247500167, 80.0), (141.8825, 169.00000000000006), (159.41582238929536, 0.9999999999999432)]",3.0,1,3,"[8.0, 16.900000000000006, 0.09999999999999432]","[181.06998247500167, 141.8825, 159.41582238929536]"
22890,"[46.8, 0.20000000000000284, 17.0, 23.0, 4.0, 6.0, 8.0]","[232.125, 292.25, 204.0, 197.0, 204.0, 167.40359922257957, 141.8825]",4,4.0,"[6.0, 8.0]","[46.8, 47.0, 64.0, 87.0, 91.0, 97.0, 105.0]","[0.0, 46.8, 47.0, 64.0, 87.0, 91.0, 97.0]","[2.5, 3.5, 2.0, 1.0, 2.0, 2.0, 1.0]","[4, 7, 4, 5, 4, 3, 3]","[5, 7, 4, 4, 4, 3, 2]","[1.0, 2.0, 1.0, 1.5, 0.5, 0.25, 0.25]","[2.0, 2.0, 2.0, 2.5, 1.0, 0.5, 0.5]","[0, 1, 0, 0, 0, 0, 0]",2008-02-12 17:00,40.0,4,3.0,91.0,3.0,2.0,131.83132262060033,"[167.40359922257957, 141.8825]","[(167.40359922257957, 60.0), (141.8825, 80.0)]",3.0,1,2,"[6.0, 8.0]","[167.40359922257957, 141.8825]"
23510,"[10.0, 10.0, 10.0, 25.0, 12.0, 5.0, 23.0, 20.0, 2.0, 1.0, 5.0, 6.0, 0.5, 1.5, 10.5, 2.5, 1.0, 6.0, 5.699999999999989, 0.30000000000001137, 10.5, 0.5, 13.0]","[190.0, 217.0, 259.0, 238.0, 217.0, 154.0, 217.0, 175.0, 151.75, 151.75, 203.75, 174.25, 151.75, 219.25, 174.25, 174.25, 158.0, 164.8118667919715, 167.40359922257957, 270.1875, 157.3775, 120.0, 143.75]",9,1.0,"[5.0, 6.0, 0.5, 1.5, 10.5, 2.5, 1.0, 6.0, 5.699999999999989, 0.30000000000001137, 10.5, 0.5, 13.0]","[10.0, 20.0, 30.0, 55.0, 67.0, 72.0, 95.0, 115.0, 117.0, 118.0, 123.0, 129.0, 129.5, 131.0, 141.5, 144.0, 145.0, 151.0, 156.7, 157.0, 167.5, 168.0, 181.0]","[0.0, 10.0, 20.0, 30.0, 55.0, 67.0, 72.0, 95.0, 115.0, 117.0, 118.0, 123.0, 129.0, 129.5, 131.0, 141.5, 144.0, 145.0, 151.0, 156.7, 157.0, 167.5, 168.0]","[2.0, 3.0, 4.0, 3.5, 3.0, 1.5, 3.0, 2.0, 1.0, 1.0, 2.5, 1.5, 1.0, 2.5, 1.5, 1.5, 1.0, 1.5, 2.0, 2.0, 1.0, 1.0, 1.0]","[9, 9, 9, 9, 9, 9, 9, 9, 4, 4, 9, 4, 4, 4, 4, 4, 4, 3, 3, 7, 4, 0, 4]","[5, 9, 9, 9, 9, 9, 9, 9, 9, 9, 4, 9, 9, 9, 9, 9, 4, 4, 3, 4, 3, 0, 2]","[2.0, 1.0, 0.75, 0.75, 0.75, 1.0, 0.75, 1.0, 1.0, 1.5, 0.75, 0.75, 1.0, 0.75, 0.75, 0.75, 1.0, 0.5, 0.5, 0.5, 0.5, 2.0, 0.5]","[3.0, 1.5, 1.0, 1.0, 1.5, 2.0, 1.5, 2.0, 2.0, 2.5, 1.5, 1.5, 2.0, 0.75, 1.5, 1.5, 2.0, 1.0, 0.5, 0.5, 1.0, 4.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2008-02-15 10:00,32.0,6,3.0,118.0,3.0,1.0,439.4377420686678,"[203.75, 174.25, 151.75, 219.25, 174.25, 174.25, 158.0, 164.8118667919715, 167.40359922257957, 270.1875, 157.3775, 120.0, 143.75]","[(203.75, 50.0), (174.25, 60.0), (151.75, 5.0), (219.25, 15.0), (174.25, 105.0), (174.25, 25.0), (158.0, 10.0), (164.8118667919715, 60.0), (167.40359922257957, 56.999999999999886), (270.1875, 3.0000000000001137), (157.3775, 105.0), (120.0, 5.0), (143.75, 130.0)]",3.0,1,13,"[5.0, 6.0, 0.5, 1.5, 10.5, 2.5, 1.0, 6.0, 5.699999999999989, 0.30000000000001137, 10.5, 0.5, 13.0]","[203.75, 174.25, 151.75, 219.25, 174.25, 174.25, 158.0, 164.8118667919715, 167.40359922257957, 270.1875, 157.3775, 120.0, 143.75]"
24090,"[15.0, 31.0, 11.0, 5.0, 25.0, 3.0, 3.0, 8.0, 6.5, 1.0, 0.5, 4.0, 4.5, 1.5, 4.0, 3.0, 2.0, 2.0, 8.0, 1.0]","[217.0, 259.0, 196.0, 154.0, 238.0, 171.125, 196.0, 175.0, 152.25, 152.25, 196.0, 182.25, 151.75, 203.75, 139.25, 292.25, 139.25, 160.75, 181.0, 284.1875]",9,1.0,"[0.5, 4.0, 4.5, 1.5, 4.0, 3.0, 2.0, 2.0, 8.0, 1.0]","[15.0, 46.0, 57.0, 62.0, 87.0, 90.0, 93.0, 101.0, 107.5, 108.5, 109.0, 113.0, 117.5, 119.0, 123.0, 126.0, 128.0, 130.0, 138.0, 139.0]","[0.0, 15.0, 46.0, 57.0, 62.0, 87.0, 90.0, 93.0, 101.0, 107.5, 108.5, 109.0, 113.0, 117.5, 119.0, 123.0, 126.0, 128.0, 130.0, 138.0]","[3.0, 4.0, 2.5, 1.5, 3.5, 1.5, 2.5, 2.0, 1.0, 1.0, 2.5, 2.0, 1.0, 2.5, 1.0, 4.0, 1.0, 1.5, 1.5, 3.0]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 4, 9, 9, 7, 9, 9, 4, 7]","[9, 9, 9, 9, 9, 5, 9, 9, 5, 5, 9, 4, 9, 4, 4, 7, 4, 4, 4, 5]","[1.0, 1.0, 1.0, 1.0, 0.5, 1.5, 1.5, 1.0, 1.5, 2.0, 0.75, 0.75, 1.0, 0.5, 0.75, 1.0, 1.0, 0.5, 0.5, 1.0]","[1.5, 1.5, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.5, 3.0, 1.0, 1.5, 2.0, 1.0, 1.5, 2.0, 2.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2008-02-19 11:00,23.0,3,2.0,108.5,2.0,1.0,100.9123351677189,"[196.0, 182.25, 151.75, 203.75, 139.25, 292.25, 139.25, 160.75, 181.0, 284.1875]","[(196.0, 5.0), (182.25, 40.0), (151.75, 45.0), (203.75, 15.0), (139.25, 40.0), (292.25, 30.0), (139.25, 20.0), (160.75, 20.0), (181.0, 80.0), (284.1875, 10.0)]",2.0,1,10,"[0.5, 4.0, 4.5, 1.5, 4.0, 3.0, 2.0, 2.0, 8.0, 1.0]","[196.0, 182.25, 151.75, 203.75, 139.25, 292.25, 139.25, 160.75, 181.0, 284.1875]"
25590,"[7.0, 34.0, 1.0, 6.0, 5.0, 1.0, 4.0, 2.0, 3.0, 6.0, 1.0]","[249.25, 210.0, 440.0, 232.125, 211.75, 287.4375, 204.0, 147.0, 236.0, 81.0, 114.10395559732385]",1,34.0,"[1.0, 6.0, 5.0, 1.0, 4.0, 2.0, 3.0, 6.0, 1.0]","[7.0, 41.0, 42.0, 48.0, 53.0, 54.0, 58.0, 60.0, 63.0, 69.0, 70.0]","[0.0, 7.0, 41.0, 42.0, 48.0, 53.0, 54.0, 58.0, 60.0, 63.0, 69.0]","[3.0, 1.0, 6.0, 2.5, 2.0, 3.5, 2.0, 2.0, 3.0, 1.0, 1.5]","[5, 5, 8, 4, 4, 7, 4, 0, 4, 1, 1]","[9, 5, 8, 5, 5, 4, 4, 1, 0, 1, 3]","[2.0, 2.0, nan, 1.0, 1.0, 1.0, 1.0, 1.5, 1.0, 1.0, 0.5]","[5.0, 4.0, nan, 2.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2008-03-06 10:00,30.0,4,2.0,41.0,3.0,2.0,131.83132262060033,"[440.0, 232.125, 211.75, 287.4375, 204.0, 147.0, 236.0, 81.0, 114.10395559732385]","[(440.0, 10.0), (232.125, 60.0), (211.75, 50.0), (287.4375, 10.0), (204.0, 40.0), (147.0, 20.0), (236.0, 30.0), (81.0, 60.0), (114.10395559732385, 10.0)]",3.0,1,9,"[1.0, 6.0, 5.0, 1.0, 4.0, 2.0, 3.0, 6.0, 1.0]","[440.0, 232.125, 211.75, 287.4375, 204.0, 147.0, 236.0, 81.0, 114.10395559732385]"
25611,"[10.0, 32.0, 6.0, 17.0, 4.5, 1.5, 13.0, 1.0, 4.0, 2.0, 2.0, 3.5, 0.5, 8.0, 4.0, 11.0]","[175.0, 238.0, 171.125, 217.0, 152.25, 281.6875, 152.25, 287.4375, 190.75, 292.25, 281.6875, 292.25, 281.6875, 154.1868667919715, 292.25, 141.8825]",8,4.0,"[2.0, 2.0, 3.5, 0.5, 8.0, 4.0, 11.0]","[10.0, 42.0, 48.0, 65.0, 69.5, 71.0, 84.0, 85.0, 89.0, 91.0, 93.0, 96.5, 97.0, 105.0, 109.0, 120.0]","[0.0, 10.0, 42.0, 48.0, 65.0, 69.5, 71.0, 84.0, 85.0, 89.0, 91.0, 93.0, 96.5, 97.0, 105.0, 109.0]","[2.0, 3.5, 1.5, 3.0, 1.0, 3.0, 1.0, 3.5, 1.0, 5.0, 3.0, 4.0, 3.0, 1.5, 4.5, 1.0]","[9, 9, 9, 9, 9, 7, 9, 7, 5, 7, 7, 7, 7, 3, 7, 3]","[9, 9, 5, 9, 5, 4, 5, 4, 9, 7, 4, 7, 4, 0, 7, 2]","[1.0, 1.0, 2.0, 0.75, 1.5, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.25, 0.5, 0.5]","[2.0, 1.5, 3.0, 1.5, 2.5, 2.0, 2.5, 1.5, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",2008-03-06 11:00,18.0,6,3.0,89.0,3.0,2.0,439.4377420686678,"[292.25, 281.6875, 292.25, 281.6875, 154.1868667919715, 292.25, 141.8825]","[(292.25, 20.0), (281.6875, 20.0), (292.25, 35.0), (281.6875, 5.0), (154.1868667919715, 80.0), (292.25, 40.0), (141.8825, 110.0)]",3.0,1,7,"[2.0, 2.0, 3.5, 0.5, 8.0, 4.0, 11.0]","[292.25, 281.6875, 292.25, 281.6875, 154.1868667919715, 292.25, 141.8825]"
25710,"[11.0, 9.0, 25.0, 3.0, 24.0, 3.0, 21.0, 19.0, 15.0, 8.0, 2.0, 5.0, 1.0, 6.0, 4.0, 1.0, 2.5999999999999943, 0.4000000000000057]","[235.0, 205.375, 272.875, 203.75, 252.5, 238.0, 217.0, 205.375, 227.0, 190.75, 174.25, 171.0, 160.625, 204.0, 191.375, 260.5625, 157.3775, 154.5618667919715]",10,2.0,"[5.0, 1.0, 6.0, 4.0, 1.0, 2.5999999999999943, 0.4000000000000057]","[11.0, 20.0, 45.0, 48.0, 72.0, 75.0, 96.0, 115.0, 130.0, 138.0, 140.0, 145.0, 146.0, 152.0, 156.0, 157.0, 159.6, 160.0]","[0.0, 11.0, 20.0, 45.0, 48.0, 72.0, 75.0, 96.0, 115.0, 130.0, 138.0, 140.0, 145.0, 146.0, 152.0, 156.0, 157.0, 159.6]","[2.0, 1.5, 3.5, 2.5, 3.0, 3.5, 3.0, 1.5, 2.5, 1.0, 1.5, 1.0, 1.5, 2.0, 1.5, 3.0, 1.0, 1.5]","[5, 5, 4, 9, 4, 9, 9, 5, 4, 5, 4, 4, 6, 4, 4, 4, 4, 3]","[5, 9, 5, 4, 5, 9, 9, 9, 4, 9, 9, 5, 5, 4, 5, 7, 3, 6]","[2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.5, 2.0, 0.5, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.2]","[4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 1.0, 3.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2008-03-10 09:00,33.0,3,2.0,140.0,2.0,1.0,100.9123351677189,"[171.0, 160.625, 204.0, 191.375, 260.5625, 157.3775, 154.5618667919715]","[(171.0, 50.0), (160.625, 10.0), (204.0, 60.0), (191.375, 40.0), (260.5625, 10.0), (157.3775, 25.999999999999943), (154.5618667919715, 4.000000000000057)]",2.0,1,7,"[5.0, 1.0, 6.0, 4.0, 1.0, 2.5999999999999943, 0.4000000000000057]","[171.0, 160.625, 204.0, 191.375, 260.5625, 157.3775, 154.5618667919715]"
25930,"[10.0, 19.0, 13.0, 18.0, 6.0, 13.5, 0.5, 15.0, 8.0, 2.0, 14.0, 4.5, 0.5]","[210.0, 248.5, 242.375, 210.0, 210.0, 148.5, 159.80269941693467, 96.0, 86.0, 90.75, 96.0, 114.6275, 96.0]",5,13.5,"[0.5, 15.0, 8.0, 2.0, 14.0, 4.5, 0.5]","[10.0, 29.0, 42.0, 60.0, 66.0, 79.5, 80.0, 95.0, 103.0, 105.0, 119.0, 123.5, 124.0]","[0.0, 10.0, 29.0, 42.0, 60.0, 66.0, 79.5, 80.0, 95.0, 103.0, 105.0, 119.0, 123.5]","[1.0, 3.0, 2.5, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[5, 7, 5, 5, 5, 4, 3, 2, 1, 1, 2, 2, 2]","[5, 4, 4, 5, 5, 7, 2, 1, 2, 0, 1, 3, 1]","[3.0, 1.0, 1.0, 2.0, 3.0, 1.0, 0.25, 0.75, 1.0, 2.0, 0.5, 0.25, 0.75]","[6.0, 2.0, 2.5, 3.0, 4.0, 2.0, 0.75, 1.5, 3.0, 3.0, 0.75, 0.75, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-03-13 14:00,36.0,2,1.0,79.5,1.0,3.0,80.0,"[159.80269941693467, 96.0, 86.0, 90.75, 96.0, 114.6275, 96.0]","[(159.80269941693467, 5.0), (96.0, 150.0), (86.0, 80.0), (90.75, 20.0), (96.0, 140.0), (114.6275, 45.0), (96.0, 5.0)]",1.0,1,7,"[0.5, 15.0, 8.0, 2.0, 14.0, 4.5, 0.5]","[159.80269941693467, 96.0, 86.0, 90.75, 96.0, 114.6275, 96.0]"
26730,"[15.0, 18.0, 30.0, 16.700000000000003, 0.29999999999999716, 9.0, 10.0, 1.0, 17.799999999999997, 0.20000000000000284, 4.299999999999997, 0.7000000000000028, 0.5, 1.5, 17.0, 18.0, 14.800000000000011, 0.19999999999998863, 15.0, 10.0]","[175.0, 154.0, 196.0, 232.12522605741117, 175.0, 236.5313065143528, 213.26846237860732, 133.0, 232.12522605741117, 157.0, 202.0738495144293, 141.875, 292.25, 141.875, 181.06998247500167, 167.40359922257957, 159.41582238929536, 292.25, 141.8825, 86.0]",15,18.0,"[14.800000000000011, 0.19999999999998863, 15.0, 10.0]","[15.0, 33.0, 63.0, 79.7, 80.0, 89.0, 99.0, 100.0, 117.8, 118.0, 122.3, 123.0, 123.5, 125.0, 142.0, 160.0, 174.8, 175.0, 190.0, 200.0]","[0.0, 15.0, 33.0, 63.0, 79.7, 80.0, 89.0, 99.0, 100.0, 117.8, 118.0, 122.3, 123.0, 123.5, 125.0, 142.0, 160.0, 174.8, 175.0, 190.0]","[2.0, 1.5, 2.5, 3.5, 2.0, 3.5, 3.0, 1.0, 3.5, 2.0, 3.0, 1.5, 2.5, 1.5, 2.5, 2.0, 1.5, 2.0, 1.0, 1.0]","[9, 9, 9, 3, 9, 9, 9, 9, 3, 0, 3, 0, 7, 0, 3, 3, 3, 7, 3, 1]","[9, 9, 9, 3, 9, 3, 3, 9, 3, 0, 3, 7, 7, 7, 3, 3, 3, 7, 2, 2]","[1.0, 1.0, 0.75, 0.5, 0.75, 0.5, 0.5, 0.75, 0.5, 1.0, 0.5, 1.5, 0.5, 1.0, 0.5, 0.25, 0.25, 0.5, 0.25, 1.0]","[1.5, 2.0, 1.0, 0.5, 1.5, 1.0, 1.0, 1.5, 0.5, 2.0, 0.5, 3.0, 1.0, 2.0, 0.5, 0.5, 0.5, 0.5, 1.0, 2.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2008-03-18 13:00,34.0,4,2.0,160.0,3.0,2.0,131.83132262060033,"[159.41582238929536, 292.25, 141.8825, 86.0]","[(159.41582238929536, 148.0000000000001), (292.25, 1.9999999999998863), (141.8825, 150.0), (86.0, 100.0)]",3.0,1,4,"[14.800000000000011, 0.19999999999998863, 15.0, 10.0]","[159.41582238929536, 292.25, 141.8825, 86.0]"
43170,"[7.0, 13.0, 7.5, 2.0, 0.5, 23.799999999999997, 0.20000000000000284, 12.700000000000003, 0.29999999999999716, 2.5, 0.5, 5.0, 14.0, 2.0, 1.0]","[199.0, 219.25, 293.1875, 174.25, 275.9375, 219.25, 281.6875, 158.0, 281.6875, 158.0, 167.40359922257957, 159.41582238929536, 181.06998247500167, 141.8825, 192.55248685625125]",7,12.700000000000003,"[0.29999999999999716, 2.5, 0.5, 5.0, 14.0, 2.0, 1.0]","[7.0, 20.0, 27.5, 29.5, 30.0, 53.8, 54.0, 66.7, 67.0, 69.5, 70.0, 75.0, 89.0, 91.0, 92.0]","[0.0, 7.0, 20.0, 27.5, 29.5, 30.0, 53.8, 54.0, 66.7, 67.0, 69.5, 70.0, 75.0, 89.0, 91.0]","[2.0, 2.5, 4.0, 1.5, 2.5, 2.5, 3.0, 1.0, 3.0, 1.0, 2.0, 1.5, 2.5, 1.0, 2.5]","[4, 4, 7, 4, 7, 4, 7, 4, 7, 4, 3, 3, 3, 3, 3]","[7, 9, 4, 9, 4, 9, 4, 4, 4, 4, 3, 3, 3, 2, 4]","[1.5, 0.75, 1.5, 1.0, 0.5, 0.75, 0.5, 1.0, 0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.25]","[2.5, 1.5, 2.0, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.75, 0.5]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",2008-11-28 09:00,30.0,6,3.0,66.7,3.0,1.0,439.4377420686678,"[281.6875, 158.0, 167.40359922257957, 159.41582238929536, 181.06998247500167, 141.8825, 192.55248685625125]","[(281.6875, 2.9999999999999716), (158.0, 25.0), (167.40359922257957, 5.0), (159.41582238929536, 50.0), (181.06998247500167, 140.0), (141.8825, 20.0), (192.55248685625125, 10.0)]",3.0,1,7,"[0.29999999999999716, 2.5, 0.5, 5.0, 14.0, 2.0, 1.0]","[281.6875, 158.0, 167.40359922257957, 159.41582238929536, 181.06998247500167, 141.8825, 192.55248685625125]"
