profID,layer_thickness,density_combined,wl_index,wl_thickness,layers_above_wl,layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,approximate_critical_loads,density_above_wl,snow_profiles,RB_class,region,nbr_layers,trunc_layers_above_wl,trunc_density_above_wl
18310,"[23.0, 21.0, 3.0, 1.0, 5.5, 0.5, 10.0, 25.0, 0.09999999999999432]","[219.25, 196.75, 197.0, 191.375, 171.0, 202.0738495144293, 174.55248685625125, 114.6275, 115.25]",2,3.0,"[1.0, 5.5, 0.5, 10.0, 25.0, 0.09999999999999432]","[23.0, 44.0, 47.0, 48.0, 53.5, 54.0, 64.0, 89.0, 89.1]","[0.0, 23.0, 44.0, 47.0, 48.0, 53.5, 54.0, 64.0, 89.0]","[2.5, 2.0, 1.0, 1.5, 1.0, 3.0, 2.5, 1.0, 1.0]","[4, 4, 5, 4, 4, 3, 3, 2, 0]","[9, 9, 4, 5, 5, 3, 2, 3, 2]","[0.5, 0.5, 1.0, 0.5, 1.0, 0.25, 0.25, 0.25, 0.25]","[1.5, 1.5, 3.0, 2.0, 2.5, 0.25, 0.75, 1.0, 2.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-01-14 10:45,27,2,1.0,47.0,1.0,3.0,80.0,"[191.375, 171.0, 202.0738495144293, 174.55248685625125, 114.6275, 115.25]","[(191.375, 10.0), (171.0, 55.0), (202.0738495144293, 5.0), (174.55248685625125, 100.0), (114.6275, 250.0), (115.25, 0.9999999999999432)]",1.0,2,6,"[1.0, 5.5, 0.5, 10.0, 25.0, 0.09999999999999432]","[191.375, 171.0, 202.0738495144293, 174.55248685625125, 114.6275, 115.25]"
18910,"[10.0, 21.0, 31.0, 2.0, 21.0, 30.0]","[210.0, 158.0, 156.1325, 140.0, 159.41582238929536, 114.6275]",2,31.0,"[2.0, 21.0, 30.0]","[10.0, 31.0, 62.0, 64.0, 85.0, 115.0]","[0.0, 10.0, 31.0, 62.0, 64.0, 85.0]","[1.0, 1.0, 1.0, 1.0, 1.5, 1.0]","[5, 4, 3, 6, 3, 2]","[5, 4, 4, 6, 3, 3]","[2.0, 1.5, 1.0, 2.0, 0.5, 0.5]","[3.0, 2.0, 1.5, 3.0, 0.5, 1.5]","[0, 0, 0, 0, 0, 0]",2008-01-15 15:30,40,3,1.0,62.0,1.0,3.0,100.9123351677189,"[140.0, 159.41582238929536, 114.6275]","[(140.0, 20.0), (159.41582238929536, 210.0), (114.6275, 300.0)]",1.0,2,3,"[2.0, 21.0, 30.0]","[140.0, 159.41582238929536, 114.6275]"
19590,"[45.0, 5.0, 15.0, 15.0, 3.0]","[210.0, 175.0, 204.0, 133.0, 175.0]",0,45.0,"[5.0, 15.0, 15.0, 3.0]","[45.0, 50.0, 65.0, 80.0, 83.0]","[0.0, 45.0, 50.0, 65.0, 80.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[5, 9, 4, 9, 9]","[5, 9, 4, 9, 9]","[5.0, 1.5, 0.5, 1.0, 1.0]","[7.0, 2.0, 0.7, 1.0, 1.0]","[0, 0, 0, 0, 0]",2008-01-22 12:00,32,2,2.0,45.0,1.0,3.0,80.0,"[175.0, 204.0, 133.0, 175.0]","[(175.0, 50.0), (204.0, 150.0), (133.0, 150.0), (175.0, 30.0)]",1.0,2,4,"[5.0, 15.0, 15.0, 3.0]","[175.0, 204.0, 133.0, 175.0]"
22810,"[5.0, 23.0, 15.0, 30.0, 25.0, 45.0, 32.0, 10.0, 10.0]","[272.875, 211.75, 227.0, 181.0, 202.0738495144293, 174.55248685625125, 101.0, 119.0, 101.0]",3,30.0,"[25.0, 45.0, 32.0, 10.0, 10.0]","[5.0, 28.0, 43.0, 73.0, 98.0, 143.0, 175.0, 185.0, 195.0]","[0.0, 5.0, 28.0, 43.0, 73.0, 98.0, 143.0, 175.0, 185.0]","[3.5, 2.0, 2.5, 1.5, 3.0, 2.5, 1.0, 1.5, 1.0]","[4, 4, 4, 4, 3, 3, 2, 2, 2]","[5, 5, 4, 4, 3, 2, 2, 2, 2]","[3.0, 2.0, 2.0, 2.0, 1.0, 1.0, 0.5, 1.0, 1.0]","[3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-02-13 11:00,36,6,2.0,73.0,3.0,1.0,439.4377420686678,"[202.0738495144293, 174.55248685625125, 101.0, 119.0, 101.0]","[(202.0738495144293, 250.0), (174.55248685625125, 450.0), (101.0, 320.0), (119.0, 100.0), (101.0, 100.0)]",3.0,2,5,"[25.0, 45.0, 32.0, 10.0, 10.0]","[202.0738495144293, 174.55248685625125, 101.0, 119.0, 101.0]"
23370,"[5.0, 3.0, 14.0, 25.0, 20.0, 8.0, 23.0, 1.0, 18.0, 12.0, 6.0, 14.0, 4.0]","[204.0, 158.0, 204.0, 204.0, 204.0, 204.0, 194.8508998056449, 278.73334707923954, 214.05538713582197, 204.0, 181.0, 158.0, 158.0]",-1,,[],"[5.0, 8.0, 22.0, 47.0, 67.0, 75.0, 98.0, 99.0, 117.0, 129.0, 135.0, 149.0, 153.0]","[0.0, 5.0, 8.0, 22.0, 47.0, 67.0, 75.0, 98.0, 99.0, 117.0, 129.0, 135.0, 149.0]","[2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0, 2.0, 1.5, 1.0, 1.0]","[4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4]","[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5]","[1.5, 1.5, 1.0, 1.5, 1.5, 1.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-02-15 09:30,32,7,0.0,153.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
23471,"[20.0, 55.0, 7.0, 6.0, 7.0, 14.0, 3.0, 8.0]","[196.75, 181.0, 227.0, 262.78130651435276, 238.01846237860732, 204.0, 214.05538713582197, 157.3775]",1,55.0,"[7.0, 6.0, 7.0, 14.0, 3.0, 8.0]","[20.0, 75.0, 82.0, 88.0, 95.0, 109.0, 112.0, 120.0]","[0.0, 20.0, 75.0, 82.0, 88.0, 95.0, 109.0, 112.0]","[2.0, 1.5, 2.5, 3.5, 3.0, 2.0, 3.0, 1.0]","[4, 4, 4, 4, 4, 4, 3, 4]","[9, 4, 4, 3, 3, 4, 4, 3]","[1.0, 1.0, 0.5, 0.25, 0.25, 0.5, 0.25, 0.5]","[3.0, 2.0, 1.0, 1.0, 1.0, 1.5, 1.0, 1.5]","[0, 0, 0, 0, 0, 0, 0, 0]",2008-02-15 11:10,42,5,2.0,75.0,3.0,1.0,197.7469839309005,"[227.0, 262.78130651435276, 238.01846237860732, 204.0, 214.05538713582197, 157.3775]","[(227.0, 70.0), (262.78130651435276, 60.0), (238.01846237860732, 70.0), (204.0, 140.0), (214.05538713582197, 30.0), (157.3775, 80.0)]",3.0,2,6,"[7.0, 6.0, 7.0, 14.0, 3.0, 8.0]","[227.0, 262.78130651435276, 238.01846237860732, 204.0, 214.05538713582197, 157.3775]"
24650,"[7.0, 38.0, 3.0, 4.0, 18.0, 8.0, 14.0, 10.0, 16.0, 12.0, 19.0, 16.0, 12.0]","[296.0, 227.0, 192.55248685625125, 250.0, 262.78130651435276, 278.73334707923954, 242.34391954305838, 242.34391954305838, 214.05538713582197, 192.55248685625125, 227.0, 204.0, 204.0]",-1,,[],"[7.0, 45.0, 48.0, 52.0, 70.0, 78.0, 92.0, 102.0, 118.0, 130.0, 149.0, 165.0, 177.0]","[0.0, 7.0, 45.0, 48.0, 52.0, 70.0, 78.0, 92.0, 102.0, 118.0, 130.0, 149.0, 165.0]","[4.0, 2.5, 2.5, 3.0, 3.5, 4.0, 3.5, 3.5, 3.0, 2.5, 2.5, 2.0, 2.0]","[4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4]","[1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5, 0.5]","[1.5, 2.0, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-02-27 09:30,37,7,0.0,177.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
26930,"[9.0, 1.0, 10.0, 30.0, 15.0, 7.0, 13.0, 3.0, 1.0, 36.0, 39.0]","[184.0, 292.25, 120.0, 184.0, 216.0, 184.0, 152.0, 167.40359922257957, 128.8775, 101.0, 86.0]",9,36.0,[39.0],"[9.0, 10.0, 20.0, 50.0, 65.0, 72.0, 85.0, 88.0, 89.0, 125.0, 164.0]","[0.0, 9.0, 10.0, 20.0, 50.0, 65.0, 72.0, 85.0, 88.0, 89.0, 125.0]","[2.0, 2.5, 1.0, 2.0, 2.5, 2.0, 1.5, 2.0, 1.0, 1.0, 1.0]","[7, 7, 7, 7, 7, 7, 7, 3, 7, 2, 1]","[7, 7, 7, 7, 7, 7, 7, 3, 3, 2, 2]","[1.0, 1.25, 0.75, 0.75, 1.0, 0.5, 1.5, 0.25, 0.5, 0.75, 1.5]","[1.0, 1.25, 0.75, 1.0, 1.5, 0.5, 1.5, 0.25, 0.75, 1.5, 2.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-03-21 10:15,33,2,1.0,125.0,1.0,3.0,80.0,[86.0],"[(86.0, 390.0)]",1.0,2,1,[39.0],[86.0]
27050,"[28.0, 2.0, 8.0, 24.799999999999997, 0.20000000000000284, 3.0, 8.0, 15.0, 1.0, 23.0, 18.0]","[250.0, 204.0, 296.0, 250.0, 140.0, 272.9777961056527, 194.80538713582197, 137.0, 224.99444902641318, 132.0, 86.0]",4,0.20000000000000284,"[3.0, 8.0, 15.0, 1.0, 23.0, 18.0]","[28.0, 30.0, 38.0, 62.8, 63.0, 66.0, 74.0, 89.0, 90.0, 113.0, 131.0]","[0.0, 28.0, 30.0, 38.0, 62.8, 63.0, 66.0, 74.0, 89.0, 90.0, 113.0]","[3.0, 2.0, 4.0, 3.0, 1.0, 4.0, 3.0, 2.0, 4.0, 2.0, 1.0]","[4, 4, 4, 4, 6, 3, 3, 2, 2, 2, 1]","[4, 4, 4, 4, 6, 3, 2, 2, 3, 1, 2]","[0.5, 1.0, 0.5, 0.5, 1.0, 0.25, 0.25, 1.0, 0.5, 1.0, 1.0]","[1.5, 2.0, 1.25, 1.5, 2.0, 0.5, 1.5, 2.0, 1.25, 2.0, 3.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-03-24 13:50,38,3,1.0,63.0,1.0,3.0,100.9123351677189,"[272.9777961056527, 194.80538713582197, 137.0, 224.99444902641318, 132.0, 86.0]","[(272.9777961056527, 30.0), (194.80538713582197, 80.0), (137.0, 150.0), (224.99444902641318, 10.0), (132.0, 230.0), (86.0, 180.0)]",1.0,2,6,"[3.0, 8.0, 15.0, 1.0, 23.0, 18.0]","[272.9777961056527, 194.80538713582197, 137.0, 224.99444902641318, 132.0, 86.0]"
3813,"[14.0, 43.0, 17.0, 4.0, 10.0, 8.0, 24.0]","[210.0, 296.0, 197.0, 250.0, 197.0, 171.0, 114.6275]",3,4.0,"[10.0, 8.0, 24.0]","[14.0, 57.0, 74.0, 78.0, 88.0, 96.0, 120.0]","[0.0, 14.0, 57.0, 74.0, 78.0, 88.0, 96.0]","[1.0, 4.0, 1.0, 3.0, 1.0, 1.0, 1.0]","[5, 4, 5, 4, 5, 4, 2]","[5, 4, 4, 4, 4, 5, 3]","[2.0, 0.5, 1.0, 1.0, 2.0, 1.0, 0.25]","[7.0, 1.0, 5.0, 2.0, 6.0, 3.0, 0.25]","[0, 0, 0, 0, 0, 0, 0]",2002-02-08 09:30,40,3,1.0,78.0,1.0,3.0,100.9123351677189,"[197.0, 171.0, 114.6275]","[(197.0, 100.0), (171.0, 80.0), (114.6275, 240.0)]",1.0,2,3,"[10.0, 8.0, 24.0]","[197.0, 171.0, 114.6275]"
