profID,layer_thickness,density_combined,wl_index,wl_thickness,layers_above_wl,layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,approximate_critical_loads,density_above_wl,snow_profiles,RB_class,region,nbr_layers,trunc_layers_above_wl,trunc_density_above_wl
4151,"[22.0, 6.0, 12.0, 10.0, 50.0]","[296.0, 376.0, 204.0, 312.0, 132.0]",3,10.0,[50.0],"[22.0, 28.0, 40.0, 50.0, 100.0]","[0.0, 22.0, 28.0, 40.0, 50.0]","[4.0, 5.0, 2.0, 4.0, 2.0]","[4, 7, 4, 7, 2]","[4, 7, 4, 7, 1]","[1.0, 1.0, 0.5, 1.0, 0.5]","[2.0, 2.0, 1.0, 2.0, 1.0]","[0, 0, 0, 0, 0]",2002-12-17 10:30,30,2,1.0,50.0,1.0,3.0,80.0,[132.0],"[(132.0, 500.0)]",1.0,2,1,[50.0],[132.0]
43610,"[15.0, 15.0, 8.0, 2.0, 50.0, 20.0, 13.0, 42.0, 15.0]","[272.9777961056527, 292.25, 204.0, 292.25, 204.0, 202.0738495144293, 159.80269941693467, 101.0, 81.0]",4,50.0,"[20.0, 13.0, 42.0, 15.0]","[15.0, 30.0, 38.0, 40.0, 90.0, 110.0, 123.0, 165.0, 180.0]","[0.0, 15.0, 30.0, 38.0, 40.0, 90.0, 110.0, 123.0, 165.0]","[4.0, 5.0, 2.0, 5.0, 2.0, 3.0, 2.0, 1.0, 1.0]","[3, 7, 4, 7, 4, 3, 3, 2, 1]","[3, 7, 4, 7, 4, 3, 2, 2, 1]","[0.5, 2.0, 2.0, 2.0, 1.0, 0.5, 0.5, 1.0, 2.0]","[1.0, 4.0, 2.0, 4.0, 2.0, 0.5, 1.0, 2.0, 2.0]","[0, 1, 0, 1, 0, 0, 0, 0, 0]",2008-12-01 09:00,39,2,1.0,90.0,1.0,3.0,80.0,"[202.0738495144293, 159.80269941693467, 101.0, 81.0]","[(202.0738495144293, 200.0), (159.80269941693467, 130.0), (101.0, 420.0), (81.0, 150.0)]",1.0,2,4,"[20.0, 13.0, 42.0, 15.0]","[202.0738495144293, 159.80269941693467, 101.0, 81.0]"
44890,"[30.0, 15.0, 65.0, 30.0, 25.0, 30.0, 3.0]","[292.25, 167.40359922257957, 159.80269941693467, 114.6275, 114.0, 86.0, 90.75]",4,25.0,"[30.0, 3.0]","[30.0, 45.0, 110.0, 140.0, 165.0, 195.0, 198.0]","[0.0, 30.0, 45.0, 110.0, 140.0, 165.0, 195.0]","[3.5, 2.0, 2.0, 1.0, 1.5, 1.0, 1.0]","[7, 3, 3, 2, 2, 1, 1]","[7, 3, 2, 3, 1, 2, 0]","[2.0, 1.0, 0.5, 1.0, 1.0, 2.0, 2.0]","[4.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[1, 0, 0, 0, 0, 0, 0]",2008-12-14 13:30,33,2,3.0,165.0,1.0,3.0,80.0,"[86.0, 90.75]","[(86.0, 300.0), (90.75, 30.0)]",1.0,2,2,"[30.0, 3.0]","[86.0, 90.75]"
46210,"[1.0, 3.0, 38.0, 4.0, 16.0, 2.0, 8.0, 2.0, 10.0, 4.0, 9.0]","[440.0, 269.5, 233.59391954305838, 292.25, 157.3775, 292.25, 215.51749561875042, 342.0, 181.0, 292.25, 394.2882093093874]",7,2.0,"[10.0, 4.0, 9.0]","[1.0, 4.0, 42.0, 46.0, 62.0, 64.0, 72.0, 74.0, 84.0, 88.0, 97.0]","[0.0, 1.0, 4.0, 42.0, 46.0, 62.0, 64.0, 72.0, 74.0, 84.0, 88.0]","[6.0, 3.5, 3.5, 5.0, 1.0, 5.0, 2.5, 5.0, 1.5, 5.0, 5.0]","[8, 7, 3, 7, 4, 7, 4, 4, 4, 7, 3]","[8, 9, 9, 7, 3, 7, 3, 4, 4, 7, 3]","[nan, 0.8, 0.5, 1.5, 0.5, 0.8, 0.5, 1.0, 1.0, 0.2, 0.2]","[nan, 1.0, 1.2, 2.0, 0.8, 1.0, 0.8, 1.0, 1.0, 1.0, 0.2]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",2008-12-27 10:00,38,2,1.0,74.0,1.0,3.0,80.0,"[181.0, 292.25, 394.2882093093874]","[(181.0, 100.0), (292.25, 40.0), (394.2882093093874, 90.0)]",1.0,2,3,"[10.0, 4.0, 9.0]","[181.0, 292.25, 394.2882093093874]"
46550,"[14.0, 6.0, 3.0, 4.0, 2.0, 31.0, 1.0, 21.0, 16.0, 3.0, 3.0]","[152.25, 176.55269941693467, 296.0, 167.40359922257957, 204.0, 202.0738495144293, 140.0, 202.0738495144293, 155.51, 141.8825, 167.40359922257957]",5,31.0,"[1.0, 21.0, 16.0, 3.0, 3.0]","[14.0, 20.0, 23.0, 27.0, 29.0, 60.0, 61.0, 82.0, 98.0, 101.0, 104.0]","[0.0, 14.0, 20.0, 23.0, 27.0, 29.0, 60.0, 61.0, 82.0, 98.0, 101.0]","[1.0, 2.0, 4.0, 2.0, 2.0, 3.0, 1.0, 3.0, 1.0, 1.0, 2.0]","[9, 3, 4, 3, 4, 3, 6, 3, 3, 3, 3]","[5, 4, 4, 3, 4, 3, 6, 3, 3, 2, 3]","[0.5, 0.5, 0.5, 0.5, 3.0, 0.25, 1.0, 0.5, 0.25, 0.25, 0.25]","[1.5, 1.0, 1.5, 0.5, 3.0, 0.5, 1.0, 0.5, 0.25, 0.5, 0.25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2008-12-29 14:30,36,5,3.0,60.0,3.0,1.0,197.7469839309005,"[140.0, 202.0738495144293, 155.51, 141.8825, 167.40359922257957]","[(140.0, 10.0), (202.0738495144293, 210.0), (155.51, 160.0), (141.8825, 30.0), (167.40359922257957, 30.0)]",3.0,2,5,"[1.0, 21.0, 16.0, 3.0, 3.0]","[140.0, 202.0738495144293, 155.51, 141.8825, 167.40359922257957]"
47370,"[35.0, 42.0, 15.0, 18.0, 10.0, 10.0, 30.0, 25.0, 14.0, 1.0]","[272.9777961056527, 272.9777961056527, 272.9777961056527, 272.9777961056527, 272.9777961056527, 272.9777961056527, 272.9777961056527, 272.9777961056527, 155.51, 141.8825]",7,25.0,"[14.0, 1.0]","[35.0, 77.0, 92.0, 110.0, 120.0, 130.0, 160.0, 185.0, 199.0, 200.0]","[0.0, 35.0, 77.0, 92.0, 110.0, 120.0, 130.0, 160.0, 185.0, 199.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-01-04 10:00,35,3,1.0,185.0,1.0,3.0,100.9123351677189,"[155.51, 141.8825]","[(155.51, 140.0), (141.8825, 10.0)]",1.0,2,2,"[14.0, 1.0]","[155.51, 141.8825]"
48272,"[31.0, 14.0, 4.0, 9.0, 23.0, 2.0, 11.0, 5.0, 6.0]","[285.0, 250.0, 204.0, 250.0, 204.0, 238.01846237860732, 204.0, 250.0, 157.3775]",-1,,[],"[31.0, 45.0, 49.0, 58.0, 81.0, 83.0, 94.0, 99.0, 105.0]","[0.0, 31.0, 45.0, 49.0, 58.0, 81.0, 83.0, 94.0, 99.0]","[4.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 1.0]","[5, 4, 4, 4, 4, 4, 4, 4, 4]","[5, 4, 4, 4, 4, 3, 4, 4, 3]","[3.0, 1.5, 1.5, 1.0, 1.5, 1.0, 1.5, 1.0, 1.0]","[3.0, 1.5, 2.0, 1.5, 1.5, 1.0, 1.5, 1.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-01-14 11:15,33,7,0.0,105.0,3.0,1.0,878.8754841373355,[],[],3.0,2,0,[],[]
4836,"[14.0, 16.0, 3.0, 16.0, 4.0, 2.0, 7.0, 10.0, 3.0, 4.0, 7.0, 20.0, 6.0, 9.0, 9.0, 10.800000000000011, 0.19999999999998863, 6.0]","[238.0, 204.0, 292.25, 227.0, 250.0, 350.5, 273.0, 290.2444490264132, 238.01846237860732, 324.56759795026255, 290.2444490264132, 227.0, 290.2444490264132, 238.01846237860732, 194.8508998056449, 232.12522605741117, 140.0, 256.98334707923954]",16,0.19999999999998863,[6.0],"[14.0, 30.0, 33.0, 49.0, 53.0, 55.0, 62.0, 72.0, 75.0, 79.0, 86.0, 106.0, 112.0, 121.0, 130.0, 140.8, 141.0, 147.0]","[0.0, 14.0, 30.0, 33.0, 49.0, 53.0, 55.0, 62.0, 72.0, 75.0, 79.0, 86.0, 106.0, 112.0, 121.0, 130.0, 140.8, 141.0]","[3.5, 2.0, 5.0, 2.5, 3.0, 5.0, 3.5, 4.0, 3.0, 4.5, 4.0, 2.5, 4.0, 3.0, 2.0, 3.5, 1.0, 4.0]","[9, 4, 7, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 6, 3]","[9, 4, 7, 4, 4, 7, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 6, 2]","[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1.0, 0.25]","[2.0, 3.0, 1.0, 2.25, 2.0, 2.0, 1.5, 1.0, 1.25, 1.0, 1.0, 1.25, 1.0, 1.0, 1.0, 0.75, 2.0, 1.0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2004-01-25 09:15,36,2,2.0,141.0,1.0,3.0,80.0,[256.98334707923954],"[(256.98334707923954, 60.0)]",1.0,2,1,[6.0],[256.98334707923954]
49170,"[10.0, 10.0, 10.0, 15.0, 40.0, 17.0, 56.0, 17.0, 49.0, 10.699999999999989, 0.30000000000001137, 14.5, 0.5]","[292.25, 250.0, 292.25, 272.9777961056527, 292.25, 248.0, 272.9777961056527, 202.0738495144293, 181.06998247500167, 159.41582238929536, 292.25, 114.6275, 181.06998247500167]",7,17.0,"[49.0, 10.699999999999989, 0.30000000000001137, 14.5, 0.5]","[10.0, 20.0, 30.0, 45.0, 85.0, 102.0, 158.0, 175.0, 224.0, 234.7, 235.0, 249.5, 250.0]","[0.0, 10.0, 20.0, 30.0, 45.0, 85.0, 102.0, 158.0, 175.0, 224.0, 234.7, 235.0, 249.5]","[4.0, 3.0, 5.0, 4.0, 4.5, 3.0, 4.0, 3.0, 2.5, 1.5, 2.5, 1.0, 2.5]","[7, 4, 7, 3, 7, 7, 3, 3, 3, 3, 7, 2, 3]","[7, 4, 7, 3, 7, 7, 3, 3, 3, 3, 7, 3, 3]","[1.0, 2.0, 2.0, 1.0, 3.0, 2.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5]","[2.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",2009-01-17 13:00,37,6,3.0,210.0,3.0,1.0,439.4377420686678,"[181.06998247500167, 159.41582238929536, 292.25, 114.6275, 181.06998247500167]","[(181.06998247500167, 490.0), (159.41582238929536, 106.99999999999989), (292.25, 3.0000000000001137), (114.6275, 145.0), (181.06998247500167, 5.0)]",3.0,2,5,"[49.0, 10.699999999999989, 0.30000000000001137, 14.5, 0.5]","[181.06998247500167, 159.41582238929536, 292.25, 114.6275, 181.06998247500167]"
49250,"[15.0, 5.0, 5.0, 34.0, 15.0, 2.0, 13.0, 6.0, 3.0, 12.0, 25.0, 10.0, 5.0, 2.0, 3.0, 6.0, 10.0]","[250.0, 296.0, 278.73334707923954, 242.34391954305838, 217.0, 181.06998247500167, 296.0, 259.0, 272.9777961056527, 250.0, 296.0, 250.0, 202.0738495144293, 204.0, 214.05538713582197, 133.0, 156.1325]",14,3.0,"[6.0, 10.0]","[15.0, 20.0, 25.0, 59.0, 74.0, 76.0, 89.0, 95.0, 98.0, 110.0, 135.0, 145.0, 150.0, 152.0, 155.0, 161.0, 171.0]","[0.0, 15.0, 20.0, 25.0, 59.0, 74.0, 76.0, 89.0, 95.0, 98.0, 110.0, 135.0, 145.0, 150.0, 152.0, 155.0, 161.0]","[3.0, 4.0, 4.0, 3.5, 3.0, 2.5, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 2.0, 3.0, 1.0, 1.0]","[4, 4, 3, 3, 9, 3, 4, 9, 3, 4, 4, 4, 3, 4, 3, 9, 3]","[4, 4, 4, 4, 9, 3, 4, 9, 3, 4, 4, 4, 3, 4, 4, 9, 4]","[1.5, 2.0, 0.5, 0.5, 2.0, 0.5, 1.0, 2.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.5, 0.5, 1.0, 0.5]","[1.5, 2.0, 1.5, 1.5, 2.0, 0.5, 1.5, 2.0, 0.5, 2.0, 2.0, 1.5, 1.0, 1.5, 1.0, 1.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-01-17 11:00,34,5,3.0,155.0,3.0,1.0,197.7469839309005,"[133.0, 156.1325]","[(133.0, 60.0), (156.1325, 100.0)]",3.0,2,2,"[6.0, 10.0]","[133.0, 156.1325]"
49390,"[2.0, 31.0, 19.0, 14.0, 23.0, 1.0]","[292.25, 269.48334707923954, 205.80538713582197, 158.0, 165.5, 129.10395559732385]",3,14.0,"[23.0, 1.0]","[4.0, 35.0, 54.0, 68.0, 91.0, 92.0]","[2.0, 4.0, 35.0, 54.0, 68.0, 91.0]","[5.0, 4.0, 3.0, 1.0, 1.5, 1.5]","[7, 3, 3, 4, 4, 2]","[7, 9, 9, 4, 2, 3]","[1.0, 0.25, 0.25, 1.0, 0.25, 0.25]","[3.0, 1.0, 1.0, 2.0, 1.0, 0.75]","[1, 0, 0, 0, 0, 0]",2009-01-19 12:00,32,2,1.0,68.0,1.0,3.0,80.0,"[165.5, 129.10395559732385]","[(165.5, 230.0), (129.10395559732385, 10.0)]",1.0,2,2,"[23.0, 1.0]","[165.5, 129.10395559732385]"
49690,"[59.0, 2.0, 23.0, 6.0, 3.0, 2.0, 25.0, 27.0, 3.0]","[296.0, 292.25, 250.0, 292.25, 181.06998247500167, 292.25, 155.0, 101.0, 101.0]",5,2.0,"[25.0, 27.0, 3.0]","[59.0, 61.0, 84.0, 90.0, 93.0, 95.0, 120.0, 147.0, 150.0]","[0.0, 59.0, 61.0, 84.0, 90.0, 93.0, 95.0, 120.0, 147.0]","[4.0, 4.0, 3.0, 5.0, 2.5, 5.0, 2.5, 1.0, 1.0]","[4, 7, 4, 7, 3, 7, 2, 2, 2]","[4, 7, 4, 7, 3, 7, 2, 2, 2]","[1.5, 0.5, 1.0, 0.5, 0.25, 0.5, 1.0, 1.0, 1.0]","[1.5, 0.5, 1.0, 0.5, 0.25, 0.5, 1.0, 1.0, 1.0]","[0, 1, 0, 1, 0, 1, 0, 0, 0]",2009-01-23 10:00,35,3,1.0,95.0,1.0,3.0,100.9123351677189,"[155.0, 101.0, 101.0]","[(155.0, 250.0), (101.0, 270.0), (101.0, 30.0)]",1.0,2,3,"[25.0, 27.0, 3.0]","[155.0, 101.0, 101.0]"
49910,"[10.0, 28.0, 17.0, 18.0, 27.0, 10.0, 18.0, 7.0, 22.0, 8.0]","[120.0, 272.9777961056527, 202.0738495144293, 181.06998247500167, 154.0, 250.0, 158.0, 202.0738495144293, 155.51, 119.0]",7,7.0,"[22.0, 8.0]","[10.0, 38.0, 55.0, 73.0, 100.0, 110.0, 128.0, 135.0, 157.0, 165.0]","[0.0, 10.0, 38.0, 55.0, 73.0, 100.0, 110.0, 128.0, 135.0, 157.0]","[1.0, 4.0, 3.0, 2.5, 1.5, 3.0, 1.0, 3.0, 1.0, 1.5]","[7, 3, 3, 3, 9, 4, 4, 3, 3, 2]","[7, 3, 3, 3, 9, 4, 4, 3, 3, 2]","[2.0, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0]","[3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.5, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-01-25 13:50,30,2,1.0,135.0,1.0,3.0,80.0,"[155.51, 119.0]","[(155.51, 220.0), (119.0, 80.0)]",1.0,2,2,"[22.0, 8.0]","[155.51, 119.0]"
4993,"[12.0, 27.0, 22.0, 4.0, 14.0, 8.0, 9.0, 22.0, 2.0]","[219.25, 286.75, 241.75, 292.25, 202.0738495144293, 181.06998247500167, 155.51, 155.51, 272.9777961056527]",7,22.0,[2.0],"[12.0, 39.0, 61.0, 65.0, 79.0, 87.0, 96.0, 118.0, 120.0]","[0.0, 12.0, 39.0, 61.0, 65.0, 79.0, 87.0, 96.0, 118.0]","[2.5, 4.0, 3.0, 4.5, 3.0, 2.5, 1.0, 1.0, 4.0]","[4, 4, 4, 7, 3, 3, 3, 3, 3]","[9, 9, 9, 7, 3, 3, 3, 3, 3]","[0.8, 0.6, 0.5, 0.8, 0.25, 0.25, 0.5, 0.5, 0.25]","[1.5, 1.0, 1.2, 1.2, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 1, 0, 0, 0, 0, 0]",2003-12-13 09:20,34,4,2.0,118.0,3.0,1.0,131.83132262060033,[272.9777961056527],"[(272.9777961056527, 20.0)]",3.0,2,1,[2.0],[272.9777961056527]
50510,"[74.0, 2.0, 18.0, 41.0, 9.0, 10.0, 7.0, 14.0, 8.0]","[290.2444490264132, 250.0, 290.2444490264132, 227.0, 164.8118667919715, 194.80538713582197, 201.2813065143528, 144.6008998056449, 155.51]",6,7.0,"[14.0, 8.0]","[74.0, 76.0, 94.0, 135.0, 144.0, 154.0, 161.0, 175.0, 183.0]","[0.0, 74.0, 76.0, 94.0, 135.0, 144.0, 154.0, 161.0, 175.0]","[4.0, 3.0, 4.0, 2.5, 1.5, 3.0, 3.5, 2.0, 1.0]","[4, 4, 4, 4, 3, 3, 2, 2, 3]","[3, 4, 3, 4, 4, 2, 3, 3, 3]","[0.25, 1.0, 0.25, 1.0, 0.25, 0.25, 0.25, 0.25, 0.25]","[1.0, 2.0, 1.5, 2.0, 1.0, 0.75, 1.0, 1.0, 0.75]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-01-29 14:25,39,3,1.0,161.0,1.0,3.0,100.9123351677189,"[144.6008998056449, 155.51]","[(144.6008998056449, 140.0), (155.51, 80.0)]",1.0,2,2,"[14.0, 8.0]","[144.6008998056449, 155.51]"
52110,"[8.0, 17.0, 30.0, 11.0, 17.0, 16.0, 9.0, 12.0, 8.0, 19.0, 6.0, 22.0]","[312.0, 248.0, 312.0, 280.0, 249.5, 227.0, 155.51, 176.55269941693467, 159.41582238929536, 114.6275, 86.0, 81.0]",7,12.0,"[8.0, 19.0, 6.0, 22.0]","[8.0, 25.0, 55.0, 66.0, 83.0, 99.0, 108.0, 120.0, 128.0, 147.0, 153.0, 175.0]","[0.0, 8.0, 25.0, 55.0, 66.0, 83.0, 99.0, 108.0, 120.0, 128.0, 147.0, 153.0]","[4.0, 3.0, 4.0, 3.5, 3.0, 2.5, 1.0, 2.0, 1.5, 1.0, 1.0, 1.0]","[7, 7, 7, 7, 4, 4, 3, 3, 3, 2, 1, 1]","[7, 7, 7, 7, 7, 4, 3, 4, 3, 3, 2, 1]","[2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]","[3.0, 3.0, 3.0, 3.0, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-02-08 14:30,34,2,1.0,125.0,1.0,3.0,80.0,"[159.41582238929536, 114.6275, 86.0, 81.0]","[(159.41582238929536, 80.0), (114.6275, 190.0), (86.0, 60.0), (81.0, 220.0)]",1.0,2,4,"[8.0, 19.0, 6.0, 22.0]","[159.41582238929536, 114.6275, 86.0, 81.0]"
52430,"[26.0, 4.0, 11.0, 3.0, 10.0, 2.0, 12.0, 13.0, 22.0]","[212.125, 269.5, 154.0, 292.25, 155.51, 292.25, 174.55248685625125, 96.0, 81.0]",0,26.0,"[4.0, 11.0, 3.0, 10.0, 2.0, 12.0, 13.0, 22.0]","[26.0, 30.0, 41.0, 44.0, 54.0, 56.0, 68.0, 81.0, 103.0]","[0.0, 26.0, 30.0, 41.0, 44.0, 54.0, 56.0, 68.0, 81.0]","[1.5, 3.5, 1.5, 4.5, 1.0, 4.0, 2.5, 1.0, 1.0]","[5, 7, 9, 7, 3, 7, 3, 2, 1]","[4, 9, 9, 7, 3, 7, 2, 1, 1]","[1.0, 1.0, 0.5, 1.0, 0.25, 0.5, 0.25, 0.5, 1.0]","[5.0, 1.5, 1.5, 1.5, 0.5, 1.5, 0.5, 1.0, 2.0]","[0, 0, 0, 1, 0, 1, 0, 0, 0]",2009-02-11 13:30,30,2,1.0,26.0,1.0,3.0,80.0,"[269.5, 154.0, 292.25, 155.51, 292.25, 174.55248685625125, 96.0, 81.0]","[(269.5, 40.0), (154.0, 110.0), (292.25, 30.0), (155.51, 100.0), (292.25, 20.0), (174.55248685625125, 120.0), (96.0, 130.0), (81.0, 220.0)]",1.0,2,8,"[4.0, 11.0, 3.0, 10.0, 2.0, 47.0]","[269.5, 154.0, 292.25, 155.51, 292.25, 117.18416228541707]"
5260,"[10.0, 46.0, 2.0, 13.0, 3.0, 12.0, 4.0, 0.5]","[247.5, 268.25, 175.0, 324.32205232734685, 292.25, 158.0, 292.25, 125.25]",4,3.0,"[12.0, 4.0, 0.5]","[10.0, 56.0, 58.0, 71.0, 74.0, 86.0, 90.0, 90.5]","[0.0, 10.0, 56.0, 58.0, 71.0, 74.0, 86.0, 90.0]","[2.5, 4.0, 2.0, 5.0, 5.0, 1.0, 4.0, 1.0]","[5, 9, 9, 9, 7, 4, 7, 6]","[5, 4, 9, 3, 7, 4, 7, 1]","[1.0, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5, 1.0]","[5.0, 1.5, 1.0, 0.5, 0.25, 0.75, 1.0, 1.5]","[0, 0, 0, 0, 1, 0, 1, 0]",2004-03-27 13:30,31,6,3.0,74.0,3.0,1.0,439.4377420686678,"[158.0, 292.25, 125.25]","[(158.0, 120.0), (292.25, 40.0), (125.25, 5.0)]",3.0,2,3,"[12.0, 4.0, 0.5]","[158.0, 292.25, 125.25]"
52790,"[10.0, 69.0, 36.0, 4.0, 3.0, 2.0, 1.0, 36.0, 4.0]","[171.0, 181.0, 158.0, 394.2882093093874, 156.1325, 272.9777961056527, 140.0, 155.51, 137.0]",5,2.0,"[1.0, 36.0, 4.0]","[10.0, 79.0, 115.0, 119.0, 122.0, 124.0, 125.0, 161.0, 165.0]","[0.0, 10.0, 79.0, 115.0, 119.0, 122.0, 124.0, 125.0, 161.0]","[1.0, 1.5, 1.0, 5.0, 1.0, 4.0, 1.0, 1.0, 2.0]","[4, 4, 4, 3, 3, 3, 6, 3, 2]","[5, 4, 4, 3, 4, 3, 6, 3, 2]","[3.0, 2.0, 2.0, 0.5, 0.5, 0.25, 2.0, 0.5, 1.0]","[4.0, 3.0, 2.0, 0.5, 1.0, 0.25, 4.0, 0.5, 2.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2009-02-13 15:00,28,3,1.0,124.0,1.0,3.0,100.9123351677189,"[140.0, 155.51, 137.0]","[(140.0, 10.0), (155.51, 360.0), (137.0, 40.0)]",1.0,2,3,"[1.0, 36.0, 4.0]","[140.0, 155.51, 137.0]"
5379,"[18.0, 20.0, 3.0, 3.0, 5.0, 4.0, 2.0, 29.0, 1.0, 7.0]","[272.9777961056527, 214.05538713582197, 227.0, 204.0, 292.25, 204.0, 292.25, 119.0, 173.0, 86.0]",6,2.0,"[29.0, 1.0, 7.0]","[18.0, 38.0, 41.0, 44.0, 49.0, 53.0, 55.0, 84.0, 85.0, 92.0]","[0.0, 18.0, 38.0, 41.0, 44.0, 49.0, 53.0, 55.0, 84.0, 85.0]","[4.0, 3.0, 2.5, 2.0, 4.5, 2.0, 4.0, 1.5, 3.0, 1.0]","[3, 3, 4, 4, 7, 4, 7, 2, 2, 1]","[3, 4, 4, 4, 7, 4, 7, 2, 2, 2]","[0.5, 0.5, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.5, 1.0]","[0.5, 1.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.5, 1.5, 2.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",2004-12-30 10:30,40,2,2.0,55.0,1.0,3.0,80.0,"[119.0, 173.0, 86.0]","[(119.0, 290.0), (173.0, 10.0), (86.0, 70.0)]",1.0,2,3,"[29.0, 1.0, 7.0]","[119.0, 173.0, 86.0]"
53950,"[35.0, 20.0, 10.0, 5.0, 8.0, 19.0, 4.0, 12.0, 4.0, 13.0, 24.0, 42.0, 2.0]","[222.25, 223.875, 251.0, 298.9375, 250.0, 215.51749561875042, 298.9375, 214.05538713582197, 292.25, 214.05538713582197, 181.06998247500167, 86.0, 119.0]",10,24.0,"[42.0, 2.0]","[35.0, 55.0, 65.0, 70.0, 78.0, 97.0, 101.0, 113.0, 117.0, 130.0, 154.0, 196.0, 198.0]","[0.0, 35.0, 55.0, 65.0, 70.0, 78.0, 97.0, 101.0, 113.0, 117.0, 130.0, 154.0, 196.0]","[2.0, 2.5, 3.0, 4.5, 3.0, 2.5, 4.5, 3.0, 4.0, 3.0, 2.5, 1.0, 1.5]","[5, 7, 7, 7, 4, 4, 7, 3, 7, 3, 3, 1, 2]","[7, 5, 5, 4, 4, 3, 4, 4, 7, 4, 3, 2, 2]","[1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3, 0.2, 1.0, 0.5]","[4.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.5, 0.7, 0.5, 2.0, 1.0]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",2009-02-19 10:00,40,2,1.0,154.0,1.0,3.0,80.0,"[86.0, 119.0]","[(86.0, 420.0), (119.0, 20.0)]",1.0,2,2,"[42.0, 2.0]","[86.0, 119.0]"
