profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
6781,2002-01-22 10:00,32.0,4,2,55.0,3.0,2.0,-999,88.0,1,95.22,58.76,1.61,0.09,0.7,0.0,5,195.2,46.58,46,121.2422360248447,84.8695652173913,36.46,172.08019747668686,184.9007261589298,57.090531628998,202.67997909043387,211.17789987789985,0.22,0.030000000000000027,0.0,0.9902761205644324,0.58,0.71,-0.4562,0.41777737625430544,0.4729613766671242,0.5216203862066013,0.3943953302162976,0.2255992027625989,19985.904761904763,0.08235685741784088,-0.0,5.38
6802,2002-01-22 13:00,40.0,5,2,46.0,3.0,2.0,-999,80.0,1,88.53,54.26,1.79,0.0,0.75,0.0,5,183.1,30.52,46,102.29050279329607,76.71787709497205,34.27,165.13574555004382,143.69401717092148,54.49093951015682,189.76471571906362,196.67310924369747,0.22,0.02000000000000001,0.0,0.9974914143424451,0.59,0.62,-0.3378,0.4444751426388086,0.4920001032880481,0.4077107076615453,0.3132339951189948,0.1856633144896961,16731.903072463767,0.04337988358770863,-0.0,5.06
6826,2002-01-23 10:00,33.0,6,3,45.0,3.0,1.0,0,90.0,1,95.6,50.19,1.57,0.0,0.6,0.0,5,219.9,88.42,52,140.06369426751593,84.03821656050955,45.41,180.08222858401237,170.82243918493626,62.48499582591207,208.16236668359574,211.73294871794872,0.21,0.13000000000000012,0.0,1.0957316456975392,0.63,0.91,-0.5807,0.3354363166314023,0.40815488442899417,0.8881942082721819,0.6822071881983859,0.2553717831847367,26506.804259259257,0.1806816901949276,-0.0,4.62
6831,2002-01-23 13:00,35.0,6,3,64.0,3.0,1.0,0,160.0,0,148.22,74.25,1.17,0.22,0.45,0.0,4,275.4,233.1,52,235.38461538461544,105.92307692307692,73.97,213.9158037042044,265.8511247530264,81.67639162919478,251.03229166666668,264.37400241837963,0.21,-0.05000000000000005,0.5,0.9301135754848388,0.54,1.46,-1.062,0.20592352491864235,0.2639106333812181,1.3833616611091175,1.2344742330629808,0.4945474124311979,35452.44444444443,0.3812973485356499,-0.0,3.72
6814,2002-01-23 15:00,37.0,3,1,47.0,1.0,2.0,-999,97.0,1,104.32,54.45,1.54,0.01,0.6,0.0,5,222.3,88.37,52,144.35064935064938,86.61038961038959,49.86999999999999,180.7435331862844,173.06974214927658,63.295872082755565,209.90487429451,212.75880322209443,0.22,0.15000000000000013,0.0,1.131337844703994,0.61,0.93,-0.5795,0.3054374000046516,0.3742925011270208,0.9419324712742676,0.7407276386689908,0.2623286243035943,25450.78148148149,0.15078201436363953,-0.0,4.4
8377,2002-01-29 14:00,35.0,1,1,58.0,1.0,3.0,1,74.0,1,82.12,68.14,1.93,0.04,0.79,0.0,5,109.2,4.58,30,56.58031088082902,44.69844559585493,13.980000000000004,150.06645207439198,248.79803332985625,30.49081689938425,150.06645207439198,176.6,0.22,0.3999999999999999,0.0,1.5294357059062942,0.63,0.21,-0.1406,1.0895681787004268,0.7979637709013406,6.0,6.0,0.13790662834123327,15540.035132071658,0.04782281295526501,-0.4,6.0
6833,2002-02-12 10:00,36.0,5,3,40.0,3.0,3.0,-999,50.0,1,60.35,42.29,2.17,0.0,0.92,0.0,5,133.8,7.4220000000000015,44,61.658986175115224,56.726267281106004,18.06,134.9516611295681,179.3817108282407,35.535691663790345,134.9516611295681,148.92052631578946,0.24,0.31999999999999984,0.0,1.2764190199167775,0.67,0.32,-0.1667,0.8434198858378721,0.8366227018998532,6.0,6.0,0.09924461980131573,12365.684152488977,0.017912148119824882,-0.2,5.65
6841,2002-02-12 10:00,37.0,6,3,109.0,3.0,3.0,-999,156.0,1,155.12,121.85,0.86,0.35,0.27,0.0,4,187.7,12.55,15,218.2558139534884,58.92906976744187,33.27000000000001,146.4434325217914,365.79380610793953,52.98687299958333,169.79463163906343,177.17875920084126,0.25,-0.19000000000000009,0.0,0.7959205418981659,0.54,0.65,-0.3256,0.4578347802293948,0.5841696731899951,0.311076111248009,0.05,0.3011841225103131,28724.72833542076,0.1987444738855112,-0.3,3.83
6837,2002-02-12 11:00,32.0,3,1,75.0,1.0,3.0,1,95.0,1,105.94,75.98,1.62,0.05,0.72,0.0,5,153.4,10.35,42,94.69135802469135,68.17777777777776,29.959999999999994,151.0808744993324,269.92180111979474,47.89024786371382,170.42321814254862,185.1404421326397,0.23,0.040000000000000036,0.0,1.0406895185912564,0.51,0.43,-0.3358,0.5084166601546054,0.5162851062310562,0.17804992335337388,0.16739917599134926,0.16970366680445886,19047.478991596647,0.05315415988688184,-0.3,3.87
6849,2002-02-12 13:00,37.0,3,1,88.0,1.0,3.0,1,142.0,1,143.16,102.45,1.35,0.11,0.54,0.0,4,170.0,15.73,42,125.92592592592592,68.0,40.71,161.6261606484893,319.85912252464806,55.172556328520876,189.9830794341676,199.6971393034825,0.23,-0.16999999999999993,0.0,0.9294311145510836,0.58,0.53,-0.4194,0.3741626906959463,0.39331035834384376,0.4494957546830556,0.4116572604893791,0.2345101214625717,25083.732057416266,0.11964397402501015,-0.2,3.45
