,profID,layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust,layer_thickness,gt_primary,gt_secondary,density_primary,density_secondary,density_combined,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex,approximate_critical_loads,region,wl_index,wl_thickness,layers_above_wl,density_above_wl,snow_profiles,S_skier,RB_score_grouped,RB_score_grouped_4,nbr_layers,one_density_above_wl,one_layers_above_wl,trunc_layers_above_wl,trunc_density_above_wl,proxy_mass_above_wl,trunc_layers_above_wl_padded,trunc_density_above_wl_padded,convergence_check,skier_weight,crack_length,nbr_iterations,elapsed_times,skier_weights,crack_lengths
4,12590,"[45.0, 70.0, 90.0, 105.0, 120.0]","[0.0, 45.0, 70.0, 90.0, 105.0]","[3.0, 2.5, 2.0, 1.5, 1.0]","[2, 2, 2, 2, 1]","[3, 2, 2, 2, 1]","[0.25, 0.5, 0.5, 0.5, 1.0]","[0.5, 0.75, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0]","[45.0, 25.0, 20.0, 15.0, 15.0]","[2, 2, 2, 2, 1]","[3, 2, 2, 2, 1]","[173.0, 155.0, 137.0, 119.0, 81.0]","[202.0738495144293, 155.0, 137.0, 119.0, 81.0]","[180.26846237860732, 155.0, 137.0, 119.0, 81.0]",2007-11-12 09:00,37.0,2,1.0,105.0,1.0,3.0,1.0,120.0,1,119.11,99.34,0.3,0.5,0.1,0.78,1,123.1,1.213,1,410.33333333333326,41.03333333333335,19.77,115.64527061203844,379.17515405659714,33.574728028238724,115.64527061203844,134.6720657276995,0.29,0.0,0.0,1.0105605199025185,0.19,0.29,-0.1503,0.7704685451811824,0.8193481137231122,6.0,6.0,0.5400183686398747,21906.07287449392,0.1094421605488333,-2.0,5.35,80.0,1,3,15.0,[15.0],[81.0],"[(81.0, 150.0)]",,1,1,1,81.0,15.0,"[15.0, 0, 0, 0, 0]","[81.0, 0, 0, 0, 0]",1215.0,[15.  0.  0.  0.  0.],[81.  0.  0.  0.  0.],False,24.50509299581584,58.14086712320022,40,"[0.3938429355621338, 0.5011401176452637, 0.5943901538848877, 0.7198998928070068, 0.8348610401153564, 0.9719381332397461, 1.2739598751068115, 1.3643860816955566, 1.4915132522583008, 1.6192951202392578, 1.7613611221313477, 1.8646800518035889, 2.010761022567749, 2.405492067337036, 2.5193872451782227, 2.6365270614624023, 2.762885093688965, 2.9109649658203125, 3.020940065383911, 3.317512035369873, 3.4448771476745605, 3.572888135910034, 3.6745591163635254, 3.78711199760437, 3.869464159011841, 3.970405101776123, 4.221710205078125, 4.373255968093872, 4.468590021133423, 4.602602958679199, 4.680368900299072, 4.781738996505737, 4.90861701965332, 5.041513919830322, 5.365844011306763, 5.46995210647583, 5.581279039382935, 5.723315954208374, 5.854800224304199, 5.968069076538086]","[12.968846444843985, 13.328423705970032, 13.672759062118748, 14.440146328052208, 14.98720723932106, 15.51929830644636, 16.348105595600572, 17.199917143376513, 18.07383516613047, 18.968857817474987, 19.986032865556425, 20.53039552914237, 21.057032715821617, 21.566206334762324, 22.05821660730607, 22.533394884245357, 22.992097463425313, 23.434700271415135, 24.30022673540806, 25.177048912589704, 26.06446256377828, 26.961747317808822, 27.8681666640961, 28.782967696358167, 29.056853368725363, 29.32012030646856, 29.57314133196439, 29.816279955908843, 30.049890189445172, 30.27431642033387, 30.489893344590982, 30.696945946058097, 30.895789517274572, 31.08672971581738, 31.270062650971518, 31.446074996207436, 31.615044123481372, 31.77723825585065, 31.93291663531563, 32.08232970317105]","[0, 0.5, 60.496000000001004, 30.248000000000502, 30.248000000000502, 209.52204800000072, 209.52204800000072, 209.52204800000072, 209.52204800000072, 157.141536000001, 52.380512000000635, 52.380512000000635, 52.380512000000635, 52.380512000000635, 52.380512000000635, 52.380512000000635, 52.380512000000635, 290.7043356160002, 290.7043356160002, 290.7043356160002, 290.7043356160002, 290.7043356160002, 290.7043356160002, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022, 58.14086712320022]"
5,13330,"[10.0, 40.0, 58.0, 106.0, 107.0]","[0.0, 10.0, 40.0, 58.0, 106.0]","[1.0, 2.5, 2.0, 3.0, 1.0]","[4, 3, 2, 2, 7]","[5, 4, 3, 3, 7]","[1.5, 0.5, 0.5, 0.5, 1.0]","[2.5, 1.0, 1.25, 1.0, 1.5]","[0, 0, 0, 0, 0]","[10.0, 30.0, 18.0, 48.0, 1.0]","[4, 3, 2, 2, 8]","[5, 4, 3, 3, 8]","[158.0, 181.06998247500167, 137.0, 173.0, 120.0]","[210.0, 227.0, 167.40359922257957, 202.0738495144293, 120.0]","[171.0, 192.55248685625125, 144.6008998056449, 180.26846237860732, 120.0]",2007-11-21 12:00,39.0,4,1.0,58.0,2.0,2.3,-999.0,107.0,0,101.93,74.44,0.49,0.44,0.23,0.0,4,191.6,7.082000000000002,9,391.0204081632653,89.93469387755104,27.49000000000001,142.3482720989451,328.25741807693487,57.3042036569649,157.2287066246057,173.94250000000005,0.24,0.07,0.5,1.1343945720250523,0.37,0.68,-0.2458,0.554098331692687,0.7416980341329367,0.1490586143166621,6.0,0.4995338698693394,9239.133174433571,0.0055671180437237,-0.4,4.21,131.83132262060033,1,2,18.0,"[48.0, 1.0]","[180.26846237860732, 120.0]","[(180.26846237860732, 480.0), (120.0, 10.0)]",,2,2,2,179.03849375863575,49.0,"[48.0, 1.0, 0, 0, 0]","[180.26846237860732, 120.0, 0, 0, 0]",8772.886194173152,[48.  1.  0.  0.  0.],[180.26846238 120.           0.           0.           0.        ],False,63.98405548544038,980.484000000004,40,"[0.2619640827178955, 0.49656105041503906, 0.6215400695800781, 0.7547850608825684, 0.9050240516662598, 1.0274791717529297, 1.1194231510162354, 1.2258360385894775, 1.6012461185455322, 1.756972074508667, 1.9407811164855957, 2.041501998901367, 2.178361177444458, 2.3174071311950684, 2.6767349243164062, 2.795769214630127, 2.9100100994110107, 2.9890859127044678, 3.0969960689544678, 3.217427968978882, 3.3297691345214844, 3.60878586769104, 3.789391279220581, 3.911407232284546, 4.0390541553497314, 4.156673192977905, 4.279107093811035, 4.386720180511475, 4.715043067932129, 4.84767484664917, 4.952664136886597, 5.066282033920288, 5.1890740394592285, 5.3047308921813965, 5.417466163635254, 5.521568059921265, 5.758794069290161, 5.8504321575164795, 5.983647108078003, 6.084398031234741]","[40.05425406674734, 42.341842055957244, 44.096961827440815, 45.90237856137518, 47.75690092968876, 49.65894783568727, 51.606519146351665, 53.33046317735783, 55.076525627636826, 56.84193166390151, 58.62189300800269, 60.41499179353395, 62.218020569543015, 64.0276913323873, 64.99324571531444, 65.93873478586607, 66.40144848023576, 66.85233937575617, 67.2915697276744, 67.71930949719135, 68.13573549030211, 68.54103053994615, 68.9353827312221, 69.3189846691919, 69.69203278860051, 70.05472670466874, 70.407268603974, 70.74986267431612, 71.08271457236907, 71.40603092784345, 71.72001888282593, 72.0248856649195, 72.32083819277986, 72.60808271262698, 72.88682446430575, 73.15726737547415, 73.41961378250919, 73.67406417674111, 73.92081697465095, 74.16006831069754]","[0, 391.99199999999837, 391.99199999999837, 391.99199999999837, 391.99199999999837, 391.99199999999837, 587.9879999999976, 587.9879999999976, 587.9879999999976, 588.4879999999976, 588.4879999999976, 588.4879999999976, 588.4879999999976, 784.4879999999976, 784.4879999999976, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004, 980.484000000004]"
10,14990,"[14.0, 15.0, 44.0, 55.0, 68.0, 76.0, 91.0]","[0.0, 14.0, 15.0, 44.0, 55.0, 68.0, 76.0]","[1.0, 3.0, 1.0, 2.5, 3.0, 2.0, 1.0]","[5, 4, 4, 4, 3, 3, 2]","[5, 4, 4, 3, 3, 3, 1]","[2.0, 1.5, 1.0, 0.7, 0.5, 0.75, 1.5]","[3.0, 2.0, 2.0, 1.0, 0.5, 1.0, 2.0]","[0, 1, 0, 0, 0, 0, 0]","[14.0, 1.0, 29.0, 11.0, 13.0, 8.0, 15.0]","[5, 4, 4, 4, 3, 3, 2]","[5, 4, 4, 3, 3, 3, 1]","[210.0, 250.0, 158.0, 227.0, 202.0738495144293, 167.40359922257957, 101.0]","[210.0, 250.0, 158.0, 181.06998247500167, 202.0738495144293, 167.40359922257957, 81.0]","[210.0, 250.0, 158.0, 215.51749561875042, 202.0738495144293, 167.40359922257957, 96.0]",2007-12-14 13:00,35.0,6,3.0,14.0,3.0,2.0,-999.0,91.0,0,100.8,2.91,2.29,0.0,1.38,0.0,5,279.9,138.4,44,122.22707423580783,168.67336244541482,97.89,217.9773316988457,340.150309187349,92.54758477697254,318.5555919258046,321.51292372881363,0.28,1.28,-1.5,2.6018769079480295,1.0,1.51,-1.409,0.1556048946596381,0.1990711196246072,1.2210232042655418,1.1330523491405555,0.262844727176494,18542.074356134843,0.0320054973166044,-0.1,0.58,439.4377420686678,1,0,14.0,"[1.0, 29.0, 11.0, 13.0, 8.0, 15.0]","[250.0, 158.0, 215.51749561875042, 202.0738495144293, 167.40359922257957, 96.0]","[(250.0, 10.0), (158.0, 290.0), (215.51749561875042, 110.0), (202.0738495144293, 130.0), (167.40359922257957, 80.0), (96.0, 150.0)]",,2,3,6,163.75170505551262,77.0,"[1.0, 29.0, 11.0, 13.0, 23.0]","[250.0, 158.0, 215.51749561875042, 202.0738495144293, 131.7017996112898]",12608.881289274472,[ 1. 29. 11. 13. 23.],[250.         158.         215.51749562 202.07384951 131.70179961],False,1.0,77000.0,0,[],[],[]
46,22890,"[46.8, 47.0, 64.0, 87.0, 91.0, 97.0, 105.0]","[0.0, 46.8, 47.0, 64.0, 87.0, 91.0, 97.0]","[2.5, 3.5, 2.0, 1.0, 2.0, 2.0, 1.0]","[4, 7, 4, 5, 4, 3, 3]","[5, 7, 4, 4, 4, 3, 2]","[1.0, 2.0, 1.0, 1.5, 0.5, 0.25, 0.25]","[2.0, 2.0, 2.0, 2.5, 1.0, 0.5, 0.5]","[0, 1, 0, 0, 0, 0, 0]","[46.8, 0.20000000000000284, 17.0, 23.0, 4.0, 6.0, 8.0]","[4, 7, 4, 5, 4, 3, 3]","[5, 7, 4, 4, 4, 3, 2]","[227.0, 292.25, 204.0, 210.0, 204.0, 167.40359922257957, 155.51]","[247.5, 292.25, 204.0, 158.0, 204.0, 167.40359922257957, 101.0]","[232.125, 292.25, 204.0, 197.0, 204.0, 167.40359922257957, 141.8825]",2008-02-12 17:00,40.0,4,3.0,91.0,3.0,2.0,-999.0,105.0,1,109.6,77.95,1.22,0.19,0.45,0.0,4,206.6,63.07,35,169.344262295082,76.20491803278689,31.64999999999999,169.87532385466034,174.76503489476818,49.57334063606819,187.9150981378964,191.82376811594204,0.21,0.3199999999999999,0.0,1.5740453909863397,0.71,0.8,-0.3272,0.4812689775112791,0.5832171231233456,0.4703785935529594,0.2463810564295815,0.2907392636572222,17427.24923957774,0.0651507058777831,-0.0,6.0,131.83132262060033,1,4,4.0,"[6.0, 8.0]","[167.40359922257957, 141.8825]","[(167.40359922257957, 60.0), (141.8825, 80.0)]",,2,2,2,152.8201139525341,14.0,"[6.0, 8.0, 0, 0, 0]","[167.40359922257957, 141.8825, 0, 0, 0]",2139.4815953354773,[6. 8. 0. 0. 0.],[167.40359922 141.8825       0.           0.           0.        ],False,58.72491492546817,168.4920000000002,40,"[0.2035839557647705, 0.34916186332702637, 0.4212327003479004, 0.7348678112030029, 0.8466989994049072, 0.9629049301147461, 1.0914568901062012, 1.206204891204834, 1.3346478939056396, 1.4692659378051758, 1.7580127716064453, 1.882957935333252, 1.9954800605773926, 2.115567684173584, 2.211589813232422, 2.348667860031128, 2.454425811767578, 2.84106183052063, 3.0007429122924805, 3.2255208492279053, 3.3195579051971436, 3.4312679767608643, 3.574533700942993, 3.850437879562378, 3.9543569087982178, 4.062093019485474, 4.17777681350708, 4.269290924072266, 4.365047931671143, 4.555077791213989, 4.848697662353516, 4.962342739105225, 5.1195268630981445, 5.223871946334839, 5.338094711303711, 5.630609750747681, 5.717191934585571, 5.995665788650513, 6.199377775192261, 6.309803009033203]","[49.1157691466399, 51.668592958175964, 53.434558513415254, 55.031689854012136, 56.214258881805016, 57.26328457968991, 58.20799607941893, 59.05794574981291, 59.82200248677568, 60.508350773850566, 60.23406464166337, 59.98915112366793, 59.77042401246153, 59.57505063893506, 59.40051113676719, 59.24456267873116, 59.10520802925313, 58.98066785197343, 59.7525583087501, 60.4459883786642, 60.178384693890415, 59.93942792445765, 59.7260125412583, 59.53537722889399, 59.36506529324968, 59.212889889354805, 59.07690343588351, 58.95537067353104, 59.729824480739104, 60.42557208668236, 60.16015557349929, 59.92314855790371, 59.71147188550158, 59.522387570923414, 59.35345957800713, 59.202519370976304, 59.06763561007982, 58.94708745493364, 59.72238048445052, 60.41888686004695]","[0, 55.995999999999185, 55.995999999999185, 111.99200000000019, 112.49200000000019, 112.49200000000019, 112.49200000000019, 112.49200000000019, 112.49200000000019, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 112.49200000000019, 112.49200000000019, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 112.49200000000019, 112.49200000000019, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 168.4920000000002, 112.49200000000019, 112.49200000000019, 168.4920000000002]"
65,44290,"[25.0, 45.0, 55.0, 70.0, 85.0, 110.0, 125.0, 130.0]","[0.0, 25.0, 45.0, 55.0, 70.0, 85.0, 110.0, 125.0]","[3.0, 4.0, 2.0, 2.0, 2.5, 2.0, 1.0, 1.0]","[9, 9, 7, 4, 3, 3, 2, 2]","[9, 9, 5, 4, 4, 3, 3, 1]","[0.75, 0.75, 2.0, 1.5, 1.0, 0.5, 0.5, 1.5]","[0.75, 0.75, 3.0, 1.5, 1.0, 0.5, 1.0, 2.0]","[0, 0, 1, 0, 0, 0, 0, 0]","[25.0, 20.0, 10.0, 15.0, 15.0, 25.0, 15.0, 5.0]","[9, 9, 7, 4, 3, 3, 2, 2]","[9, 9, 5, 4, 4, 3, 3, 1]","[217.0, 259.0, 292.25, 204.0, 181.06998247500167, 167.40359922257957, 101.0, 101.0]","[217.0, 259.0, 235.0, 204.0, 227.0, 167.40359922257957, 155.51, 81.0]","[217.0, 259.0, 277.9375, 204.0, 192.55248685625125, 167.40359922257957, 114.6275, 96.0]",2008-12-09 11:00,40.0,2,1.0,25.0,1.0,2.0,-999.0,130.0,0,121.66,37.32,1.33,0.18,0.74,0.0,4,259.9,102.8,22,195.41353383458645,144.60601503759398,84.34,199.52239743893767,379.5776220851902,77.80595581197535,279.84250135354625,286.4761529808774,0.29,0.8200000000000001,-1.0,2.992146300613358,1.0,1.29,-0.9793,0.1806042582194922,0.2342921099916221,1.189084503234363,1.0465871515460214,0.3752748648689221,16737.623434245055,0.0275822147735808,-0.1,2.22,80.0,1,0,25.0,"[20.0, 10.0, 15.0, 15.0, 25.0, 15.0, 5.0]","[259.0, 277.9375, 204.0, 192.55248685625125, 167.40359922257957, 114.6275, 96.0]","[(259.0, 200.0), (277.9375, 100.0), (204.0, 150.0), (192.55248685625125, 150.0), (167.40359922257957, 250.0), (114.6275, 150.0), (96.0, 50.0)]",,1,1,7,193.25871222293577,105.0,"[20.0, 10.0, 15.0, 15.0, 45.0]","[259.0, 277.9375, 204.0, 192.55248685625125, 126.01036640752652]",20292.164783408258,[20. 10. 15. 15. 45.],[259.         277.9375     204.         192.55248686 126.01036641],False,1.0,105000.0,0,[],[],[]
74,44334,"[18.0, 21.0, 30.0, 31.0, 36.0, 68.0, 71.5, 72.0, 91.0, 97.5, 98.0]","[0.0, 18.0, 21.0, 30.0, 31.0, 36.0, 68.0, 71.5, 72.0, 91.0, 97.5]","[1.0, 2.5, 1.0, 3.0, 1.0, 3.5, 2.0, 2.5, 1.0, 1.0, 1.0]","[4, 7, 4, 7, 4, 3, 4, 3, 3, 2, 1]","[5, 4, 5, 4, 4, 3, 4, 4, 4, 3, 6]","[2.0, 2.0, 2.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]","[3.0, 2.0, 3.0, 2.0, 2.0, 0.5, 1.0, 0.75, 1.0, 1.0, 3.0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[18.0, 3.0, 9.0, 1.0, 5.0, 32.0, 3.5, 0.5, 19.0, 6.5, 0.5]","[4, 7, 4, 7, 4, 3, 4, 3, 3, 2, 1]","[5, 4, 5, 4, 4, 3, 4, 4, 4, 3, 6]","[158.0, 292.25, 158.0, 292.25, 158.0, 232.12522605741117, 204.0, 181.06998247500167, 155.51, 101.0, 81.0]","[210.0, 227.0, 210.0, 250.0, 158.0, 232.12522605741117, 204.0, 227.0, 158.0, 155.51, 140.0]","[171.0, 275.9375, 171.0, 281.6875, 158.0, 232.12522605741117, 204.0, 192.55248685625125, 156.1325, 114.6275, 95.75]",2008-12-09 11:00,36.0,5,1.0,36.0,2.0,2.0,-999.0,98.0,1,97.25,30.17,1.35,0.18,0.69,0.0,4,244.5,70.31,22,181.11111111111111,124.96666666666664,67.08,191.01176207513416,318.2996254768996,69.79280897010179,264.3668976545842,269.3539165818922,0.28,0.79,-1.5,2.82581069237511,1.0,1.14,-0.8443,0.2270745846486579,0.2895685556101183,1.1224917417919182,0.9157008666154134,0.3376437372297979,18415.733604769528,0.0373896583419138,-0.1,2.28,197.7469839309005,1,4,5.0,"[32.0, 3.5, 0.5, 19.0, 6.5, 0.5]","[232.12522605741117, 204.0, 192.55248685625125, 156.1325, 114.6275, 95.75]","[(232.12522605741117, 320.0), (204.0, 35.0), (192.55248685625125, 5.0), (156.1325, 190.0), (114.6275, 65.0), (95.75, 5.0)]",,2,3,6,193.5121730204078,62.0,"[32.0, 3.5, 0.5, 19.0, 7.0]","[232.12522605741117, 204.0, 192.55248685625125, 156.1325, 105.18875]",11997.754727265285,[32.   3.5  0.5 19.   7. ],[232.12522606 204.         192.55248686 156.1325     105.18875   ],False,1.0,62000.0,0,[],[],[]
79,46110,"[30.0, 70.0, 90.0, 92.0, 114.0, 118.0, 151.0, 155.0, 169.5, 170.0, 172.0]","[0.0, 30.0, 70.0, 90.0, 92.0, 114.0, 118.0, 151.0, 155.0, 169.5, 170.0]","[2.0, 2.0, 1.5, 2.0, 2.5, 3.0, 3.5, 1.0, 2.0, 1.5, 1.0]","[5, 5, 9, 5, 4, 4, 4, 4, 4, 6, 2]","[7, 9, 5, 4, 4, 5, 3, 4, 3, 5, 3]","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.1, 0.5, 0.5, 1.0, 0.25]","[3.0, 3.0, 1.5, 3.0, 2.0, 1.5, 0.5, 1.0, 0.5, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30.0, 40.0, 20.0, 2.0, 22.0, 4.0, 33.0, 4.0, 14.5, 0.5, 2.0]","[5, 5, 9, 5, 4, 4, 4, 4, 4, 6, 2]","[8, 9, 5, 4, 4, 5, 3, 4, 3, 5, 3]","[235.0, 235.0, 154.0, 235.0, 227.0, 250.0, 273.0, 158.0, 204.0, 140.0, 101.0]","[184.0, 175.0, 222.5, 204.0, 227.0, 260.0, 232.12522605741117, 158.0, 167.40359922257957, 222.5, 155.51]","[222.25, 220.0, 171.125, 227.25, 227.0, 252.5, 262.78130651435276, 158.0, 194.8508998056449, 160.625, 114.6275]",2008-12-25 09:00,35.0,3,1.0,151.0,1.0,2.0,-999.0,172.0,0,161.32,111.67,0.71,0.39,0.41,0.0,4,215.7,20.36,7,303.80281690140845,124.55915492957745,49.64999999999999,196.36763343403828,585.7778579260963,81.43654302239109,227.7535204081633,230.86843687374747,0.2,0.4,-1.0,2.554713087173045,0.59,0.87,-0.6516,0.3067907983531113,0.3364578701844275,0.8833864164033841,0.8101765705027616,0.6730855460229275,13569.616299821531,0.0201897563446474,-0.4,4.62,100.9123351677189,1,6,33.0,"[4.0, 14.5, 0.5, 2.0]","[158.0, 194.8508998056449, 160.625, 114.6275]","[(158.0, 40.0), (194.8508998056449, 145.0), (160.625, 5.0), (114.6275, 20.0)]",,1,2,4,179.3764546277072,21.0,"[4.0, 14.5, 0.5, 2.0, 0]","[158.0, 194.8508998056449, 160.625, 114.6275, 0]",3766.905547181851,[ 4.  14.5  0.5  2.   0. ],[158.         194.85089981 160.625      114.6275       0.        ],False,84.37777788238154,189.3660000000018,40,"[0.500164270401001, 0.6035881042480469, 0.714137077331543, 0.8321852684020996, 0.9461462497711182, 1.0758252143859863, 1.2427473068237305, 1.3103880882263184, 1.6301262378692627, 1.7690470218658447, 1.8992421627044678, 2.0235812664031982, 2.1238791942596436, 2.252376079559326, 2.3508663177490234, 2.435868263244629, 2.776111125946045, 2.9091992378234863, 3.0642271041870117, 3.184093952178955, 3.3656351566314697, 3.8300621509552, 3.9844932556152344, 4.13105320930481, 4.274704217910767, 4.4478919506073, 4.562557220458984, 4.650637149810791, 5.077568054199219, 5.129779100418091, 5.280145168304443, 5.435888290405273, 5.544976234436035, 5.678884267807007, 5.895844221115112, 6.1600730419158936, 6.30429220199585, 6.420193195343018, 6.549901247024536, 6.636500120162964]","[76.5606790133497, 80.76576027164772, 82.87184412046783, 84.70787862656131, 86.32239621431823, 85.95207663215145, 84.88893962847806, 83.96526635387028, 83.68223539779324, 83.43577805544707, 85.11420377721954, 86.59005493714575, 85.96501473228987, 85.42187223034475, 84.94966820521877, 84.53896274406364, 84.18161270339816, 83.87058434730517, 83.59979507914946, 83.36397933001012, 85.05101285349984, 86.53453692669709, 85.91678240894232, 85.37994804613555, 84.91321072060214, 84.50724656390365, 84.15401161076974, 83.84655707689632, 83.57887327843825, 83.34575734104041, 85.03497469356027, 86.52044562264342, 85.90453997322363, 85.36930648950039, 84.90395656439848, 84.49919575669708, 84.14700525436734, 83.84045782063109, 83.57356226744459, 83.34113162563966]","[0, 167.992000000002, 168.492000000002, 168.492000000002, 252.492000000002, 336.488000000003, 336.488000000003, 273.3660000000018, 273.3660000000018, 189.3660000000018, 189.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 189.3660000000018, 189.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 189.3660000000018, 189.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 273.3660000000018, 189.3660000000018]"
