layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,2.0,9,5,2.0,3.0,0
20.0,10.0,3.0,9,9,1.0,1.5,0
30.0,20.0,4.0,9,9,0.75,1.0,0
55.0,30.0,3.5,9,9,0.75,1.0,0
67.0,55.0,3.0,9,9,0.75,1.5,0
72.0,67.0,1.5,9,9,1.0,2.0,0
95.0,72.0,3.0,9,9,0.75,1.5,0
115.0,95.0,2.0,9,9,1.0,2.0,0
117.0,115.0,1.0,4,9,1.0,2.0,0
118.0,117.0,1.0,4,9,1.5,2.5,0
123.0,118.0,2.5,9,4,0.75,1.5,0
129.0,123.0,1.5,4,9,0.75,1.5,0
129.5,129.0,1.0,4,9,1.0,2.0,0
131.0,129.5,2.5,4,9,0.75,0.75,0
141.5,131.0,1.5,4,9,0.75,1.5,0
144.0,141.5,1.5,4,9,0.75,1.5,0
145.0,144.0,1.0,4,4,1.0,2.0,0
151.0,145.0,1.5,3,4,0.5,1.0,0
156.7,151.0,2.0,3,3,0.5,0.5,0
157.0,156.7,2.0,7,4,0.5,0.5,1
167.5,157.0,1.0,4,3,0.5,1.0,0
168.0,167.5,1.0,0,0,2.0,4.0,0
181.0,168.0,1.0,4,2,0.5,1.0,0
