layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,2.0,9,5,2.0,3.0,0
28.0,15.0,1.0,5,9,2.0,3.0,0
45.0,28.0,1.5,4,9,0.75,1.5,0
52.0,45.0,2.0,4,4,0.5,0.75,0
66.0,52.0,1.5,4,9,0.75,1.5,0
69.0,66.0,2.5,4,9,0.5,1.0,0
70.0,69.0,1.0,4,9,0.75,1.25,0
73.0,70.0,1.5,9,9,0.5,1.0,0
79.0,73.0,2.5,3,4,0.5,0.75,0
86.0,79.0,2.0,4,3,0.5,0.75,0
104.0,86.0,1.5,4,4,0.5,1.0,0
109.0,104.0,3.5,3,3,0.5,0.5,0
111.0,109.0,1.0,4,2,0.5,1.0,0
114.0,111.0,2.0,2,4,0.5,0.75,0
118.0,114.0,1.5,3,4,0.5,0.75,0
128.5,118.0,1.0,2,4,0.5,1.0,0
129.0,128.5,2.0,3,2,0.25,0.5,0
149.0,129.0,1.0,3,2,0.28,0.75,0
153.0,149.0,2.0,3,2,0.25,0.5,0
156.0,153.0,1.0,3,2,0.25,0.5,0
