layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
6.0,0.0,2.0,5,9,2.0,4.0,0
20.0,6.0,1.0,5,9,3.0,6.0,0
24.0,20.0,1.5,5,9,1.0,3.0,0
31.0,24.0,1.0,5,9,2.0,4.0,0
32.0,31.0,2.0,7,5,2.0,3.0,1
36.0,32.0,1.0,5,9,2.0,4.0,0
38.0,36.0,2.0,5,7,2.0,3.0,1
42.0,38.0,1.0,5,9,3.0,5.0,0
54.5,42.0,1.0,5,9,1.5,2.5,0
55.0,54.5,1.5,4,7,1.0,2.0,1
62.0,55.0,1.5,3,4,0.5,0.75,0
73.0,62.0,1.5,3,4,0.5,0.75,0
78.0,73.0,1.0,3,3,0.25,0.5,0
90.0,78.0,1.5,3,3,0.25,0.25,0
91.5,90.0,2.0,3,3,0.25,0.25,0
92.0,91.5,1.0,3,3,0.25,0.25,0
