layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
27.0,0.0,1.5,4,9,1.0,2.0,0
30.0,27.0,4.0,7,7,1.0,2.0,1
55.0,30.0,3.5,3,4,0.5,0.75,0
60.0,55.0,2.5,4,4,0.75,1.0,0
90.0,60.0,4.0,3,3,0.25,0.5,0
97.0,90.0,3.0,4,4,0.75,1.0,0
105.0,97.0,2.0,4,4,0.5,1.0,0
115.0,105.0,4.0,3,3,0.25,0.5,0
125.0,115.0,3.0,3,4,0.5,0.5,0
140.0,125.0,2.0,4,4,0.5,0.75,0
149.8,140.0,1.0,4,4,0.5,1.0,0
150.0,149.8,2.0,3,7,0.5,0.5,0
152.0,150.0,1.0,6,6,12.0,15.0,0
166.0,152.0,1.0,3,2,0.25,0.75,0
174.0,166.0,3.5,3,2,0.5,0.75,0
184.0,174.0,2.0,3,2,0.5,1.0,0
189.0,184.0,2.5,3,2,0.25,0.5,0
190.0,189.0,1.0,3,2,0.25,0.75,0
