layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
6.0,0.0,2.5,9,9,0.75,1.5,0
17.0,6.0,1.5,9,9,1.0,2.0,0
20.0,17.0,2.5,9,9,1.0,1.5,0
39.0,20.0,1.5,9,9,1.0,2.0,0
40.0,39.0,3.0,4,7,1.0,1.5,1
65.0,40.0,1.0,9,9,1.0,2.0,0
115.0,65.0,2.0,9,9,0.75,1.0,0
117.0,115.0,3.5,4,7,1.0,1.0,1
128.0,117.0,2.0,3,2,0.5,0.75,0
137.0,128.0,3.0,3,3,0.25,0.5,0
142.0,137.0,1.5,3,2,0.5,0.75,0
161.0,142.0,4.0,3,3,0.25,0.5,0
180.0,161.0,2.0,3,3,0.25,0.5,0
187.5,180.0,1.0,4,2,0.75,1.5,0
189.0,187.5,2.0,4,7,0.75,1.0,0
191.0,189.0,1.0,2,4,0.75,1.0,0
