layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
23.0,0.0,2.0,9,9,1.0,2.0,0
24.0,23.0,4.0,4,7,1.5,2.0,1
37.3,24.0,1.0,9,5,1.5,4.0,0
38.0,37.3,4.0,4,7,1.0,1.5,1
50.0,38.0,1.0,9,5,1.0,3.0,0
61.5,50.0,1.0,9,9,1.0,1.0,0
62.5,61.5,1.0,9,6,2.0,3.0,0
63.0,62.5,2.0,4,7,1.0,1.0,1
74.0,63.0,1.5,9,9,1.0,1.5,0
76.7,74.0,1.0,9,9,1.0,2.0,0
77.0,76.7,2.5,4,7,0.5,1.0,1
87.0,77.0,1.5,9,9,0.5,1.0,0
96.0,87.0,2.0,3,2,0.5,0.75,0
101.7,96.0,1.5,3,2,0.5,0.75,0
102.0,101.7,1.5,3,7,0.5,0.5,0
121.0,102.0,1.5,3,2,0.5,0.5,0
132.0,121.0,1.0,3,2,0.25,0.5,0
152.0,132.0,1.0,3,3,0.25,0.5,0
