layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
20.0,0.0,2.0,9,9,1.0,1.5,0
35.0,20.0,1.5,9,5,1.0,2.0,0
36.0,35.0,2.0,7,7,1.0,2.0,1
59.0,36.0,1.5,9,9,1.5,2.5,0
60.0,59.0,2.0,7,7,1.0,1.0,1
63.0,60.0,1.5,9,9,1.0,1.5,0
86.0,63.0,3.5,3,9,0.5,1.0,0
92.0,86.0,2.0,9,9,0.75,1.25,0
101.0,92.0,1.0,9,9,1.0,1.5,0
102.0,101.0,2.0,7,4,1.0,2.0,1
109.0,102.0,2.5,3,9,0.5,1.0,0
117.0,109.0,1.5,9,9,0.75,1.0,0
118.0,117.0,3.0,7,7,1.0,1.0,1
124.0,118.0,1.0,4,9,0.75,1.0,0
135.0,124.0,1.5,3,9,0.5,1.0,0
136.0,135.0,1.0,3,9,0.5,1.0,0
136.7,136.0,1.0,3,2,0.5,1.0,0
137.2,136.7,1.0,2,3,0.5,1.0,0
137.7,137.2,2.0,3,2,0.5,0.75,0
138.0,137.7,1.0,2,1,1.0,2.0,0
141.0,138.0,2.0,3,2,0.5,1.0,0
155.0,141.0,1.5,3,2,0.25,0.75,0
159.9,155.0,2.0,3,2,0.25,0.75,0
160.0,159.9,2.0,3,3,0.25,0.25,0
