layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
22.0,0.0,1.0,9,5,3.0,5.0,0
24.0,22.0,2.0,9,5,2.0,3.0,1
40.0,24.0,1.0,9,5,2.0,4.0,0
45.0,40.0,3.0,7,5,2.0,3.0,1
66.0,45.0,1.0,9,5,1.5,3.0,0
67.0,66.0,2.0,7,5,1.0,2.0,1
69.5,67.0,1.0,9,9,1.0,1.5,0
70.0,69.5,2.0,4,7,0.5,1.0,1
92.0,70.0,1.5,4,9,0.5,1.0,0
93.0,92.0,2.5,3,4,0.5,0.75,0
97.0,93.0,1.5,3,4,0.5,1.0,0
105.0,97.0,2.0,3,4,0.25,0.5,0
111.0,105.0,2.0,4,4,0.5,0.75,0
120.0,111.0,1.5,4,3,0.5,0.75,0
125.3,120.0,1.0,4,5,0.75,1.5,0
125.5,125.3,1.5,4,7,0.5,0.5,1
126.0,125.5,1.0,6,6,6.0,8.0,0
127.0,126.0,1.0,4,2,0.5,1.0,0
