layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
25.0,0.0,2.5,9,5,1.5,2.5,0
32.5,25.0,1.0,9,5,2.0,4.0,0
33.0,32.5,3.5,4,7,1.0,2.0,1
44.0,33.0,1.0,9,5,2.0,3.0,0
56.0,44.0,2.0,9,9,1.5,2.5,0
68.5,56.0,1.0,9,9,1.5,3.0,0
69.0,68.5,1.0,9,6,2.0,4.0,0
70.0,69.0,2.0,4,7,1.0,1.5,1
96.0,70.0,1.0,9,9,1.0,2.0,0
99.0,96.0,2.5,4,9,0.75,1.25,0
111.0,99.0,2.0,4,4,0.5,0.75,0
115.8,111.0,1.5,4,3,0.5,1.0,0
116.0,115.8,2.0,7,7,0.5,1.0,1
127.5,116.0,1.5,3,4,0.25,0.75,0
128.0,127.5,1.5,3,3,0.25,0.5,0
152.8,128.0,1.0,3,4,0.25,0.75,0
153.0,152.8,1.5,4,7,0.5,0.75,1
153.5,153.0,1.0,6,6,5.0,10.0,0
155.0,153.5,1.0,4,2,0.5,1.0,0
