layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,4.0,9,7,2.5,2.5,0
26.0,15.0,3.0,9,5,1.0,2.5,0
54.7,26.0,2.0,5,9,1.5,3.0,0
55.0,54.7,4.5,7,4,1.0,1.0,1
58.3,55.0,1.5,5,9,2.0,4.0,0
59.0,58.3,3.0,7,9,1.5,2.5,1
66.0,59.0,2.5,4,9,1.5,3.0,0
71.0,66.0,3.5,7,9,0.75,1.25,1
78.0,71.0,1.5,4,9,1.0,1.5,0
90.0,78.0,3.0,3,9,0.5,1.0,0
109.0,90.0,2.0,3,9,0.25,0.75,0
121.5,109.0,3.0,3,3,0.25,0.5,0
122.0,121.5,1.0,3,3,0.5,0.75,0
123.0,122.0,2.5,3,7,0.5,0.75,1
126.0,123.0,1.5,2,2,0.75,2.0,0
127.0,126.0,1.0,2,2,0.75,2.0,0
174.0,127.0,1.5,2,2,0.75,2.0,0
175.0,174.0,2.0,2,2,0.75,2.0,0
