layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
3.0,0.0,3.5,4,7,1.0,2.0,0
23.0,3.0,1.0,5,5,2.0,4.0,0
24.0,23.0,3.0,7,4,1.0,1.0,1
41.0,24.0,3.0,4,4,0.5,1.0,0
44.0,41.0,2.0,4,4,1.0,1.0,0
48.0,44.0,2.5,4,4,0.75,1.0,0
49.0,48.0,2.5,7,4,1.0,2.0,1
55.0,49.0,2.0,4,4,1.0,2.0,0
65.0,55.0,1.5,4,4,1.0,2.0,0
69.0,65.0,1.0,4,4,1.0,2.0,0
70.0,69.0,2.5,4,4,1.0,1.0,0
76.0,70.0,2.0,4,4,0.75,1.5,0
85.0,76.0,1.5,4,5,1.0,2.0,0
97.0,85.0,1.0,4,5,1.0,2.0,0
97.8,97.0,1.0,6,6,8.0,10.0,0
98.0,97.8,2.0,4,4,0.5,0.5,0
100.8,98.0,1.0,4,4,0.5,0.5,0
100.9,100.8,1.5,4,4,0.5,0.5,0
101.0,100.9,1.0,6,6,0.5,1.0,0
