layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
5.0,0.0,4.0,7,5,2.0,3.0,1
17.0,5.0,1.0,9,5,2.0,4.0,0
20.0,17.0,4.0,7,4,1.5,2.0,1
29.0,20.0,1.0,9,5,1.0,2.5,0
32.0,29.0,4.0,7,4,1.0,2.0,1
46.0,32.0,1.0,9,5,1.0,2.0,0
48.0,46.0,3.5,9,5,1.0,2.0,1
57.0,48.0,1.0,9,9,1.0,1.5,0
60.0,57.0,4.0,7,4,1.0,2.0,1
61.0,60.0,2.0,7,6,1.0,8.0,0
64.0,61.0,1.0,9,9,0.5,1.0,0
66.0,64.0,3.0,7,7,0.5,1.0,1
71.5,66.0,1.0,4,9,0.5,0.75,0
72.0,71.5,1.0,4,7,0.5,1.0,0
79.0,72.0,1.5,3,4,0.5,0.75,0
87.5,79.0,1.0,3,4,0.5,0.75,0
88.0,87.5,2.0,7,7,0.5,0.75,1
105.0,88.0,1.5,3,3,0.25,0.5,0
123.5,105.0,1.0,3,2,0.25,0.5,0
124.0,123.5,2.0,3,3,0.25,0.5,0
125.0,124.0,1.0,2,4,0.5,1.0,0
