layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
20.0,0.0,1.0,9,5,1.5,3.0,0
29.0,20.0,1.5,9,5,1.5,3.0,0
39.0,29.0,1.5,9,5,1.5,2.5,0
49.0,39.0,2.5,9,9,1.0,2.0,0
58.5,49.0,1.0,9,5,2.0,3.0,0
59.0,58.5,1.0,9,6,3.0,6.0,0
61.0,59.0,2.5,9,9,0.75,1.5,0
73.0,61.0,1.0,9,9,1.0,2.0,0
74.0,73.0,1.0,9,9,1.5,2.5,0
75.0,74.0,2.5,9,9,0.75,1.0,0
84.0,75.0,2.0,9,9,1.0,1.5,0
90.0,84.0,1.5,9,9,1.0,2.0,0
91.0,90.0,1.0,9,9,2.0,3.0,0
100.7,91.0,2.5,4,9,0.5,1.0,0
101.0,100.7,1.0,4,4,1.0,2.0,0
108.0,101.0,2.0,4,9,0.5,1.0,0
115.5,108.0,1.0,4,9,0.5,1.0,0
116.0,115.5,1.0,9,6,1.0,3.0,0
121.0,116.0,1.0,4,4,0.5,1.0,0
123.0,121.0,2.0,3,4,0.5,0.75,0
127.0,123.0,1.5,3,2,0.5,1.0,0
135.0,127.0,3.0,3,3,0.25,0.5,0
149.0,135.0,1.0,3,2,0.5,1.0,0
150.0,149.0,2.5,7,4,0.5,1.0,1
162.7,150.0,1.0,3,2,0.5,0.75,0
163.0,162.7,1.5,3,7,0.5,0.5,0
