layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
167.0,153.0,2.5,9,9,0.5,0.75,0
172.8,167.0,2.5,9,9,0.75,1.25,0
173.0,172.8,1.0,6,6,2.0,4.0,0
180.8,173.0,3.0,3,3,0.25,0.25,0
181.0,180.8,1.5,2,1,1.0,1.5,0
205.0,181.0,3.5,3,3,0.1,0.25,0
211.0,205.0,2.5,3,2,0.25,5.0,0
215.0,211.0,2.0,3,2,0.25,0.75,0
218.0,215.0,3.0,3,3,0.25,0.25,0
221.0,218.0,1.5,3,3,0.25,0.5,0
227.0,221.0,1.0,2,3,0.5,1.0,0
233.0,227.0,1.0,2,2,0.5,1.0,0
234.5,233.0,2.0,3,3,0.25,0.5,0
235.0,234.5,1.0,1,2,0.75,1.5,0
