layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
5.0,0.0,4.0,5,7,2.0,3.0,0
35.0,5.0,1.0,5,9,2.0,4.0,0
40.0,35.0,2.0,9,9,1.0,1.5,0
55.0,40.0,1.0,9,5,1.5,2.5,0
56.0,55.0,2.0,7,4,1.0,2.0,1
62.5,56.0,1.0,9,5,1.5,3.0,0
65.0,62.5,3.0,7,4,1.0,1.5,1
66.0,65.0,1.0,5,9,2.0,3.0,0
67.0,66.0,2.5,7,4,1.0,2.0,1
70.0,67.0,1.0,5,9,3.0,5.0,0
75.0,70.0,1.0,9,5,1.5,2.5,0
91.5,75.0,1.0,4,9,0.75,1.5,0
92.0,91.5,2.0,4,7,0.5,1.0,1
97.0,92.0,1.5,3,4,0.5,1.0,0
107.0,97.0,1.0,3,4,0.5,0.75,0
109.0,107.0,1.5,3,4,0.5,0.75,0
113.0,109.0,1.0,3,4,0.25,0.75,0
114.0,113.0,2.0,3,3,0.25,0.5,0
115.0,114.0,1.0,1,6,4.0,7.0,0
