layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
38.0,0.0,3.0,7,7,1.0,1.0,0
45.0,38.0,4.0,7,7,1.0,1.5,1
58.0,45.0,3.5,7,7,0.5,0.5,0
69.5,58.0,3.5,7,7,0.5,1.0,0
70.0,69.5,6.0,8,8,,,0
81.0,70.0,3.0,7,7,1.0,1.5,1
94.0,81.0,4.0,7,7,1.0,1.0,1
101.0,94.0,2.5,7,9,1.0,1.0,0
112.0,101.0,3.5,7,7,1.0,2.0,1
113.0,112.0,1.0,7,7,1.0,1.0,0
122.0,113.0,2.0,7,7,0.5,1.0,0
127.0,122.0,4.0,7,7,1.0,2.0,1
138.0,127.0,2.0,3,3,0.25,0.5,0
139.0,138.0,6.0,8,8,,,0
140.0,139.0,1.5,3,2,0.25,1.0,0
147.0,140.0,4.0,7,7,0.5,1.0,1
148.0,147.0,1.0,6,4,1.0,1.0,0
