layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
18.0,0.0,2.0,5,4,2.0,4.0,0
33.0,18.0,1.5,5,4,2.0,5.0,0
34.0,33.0,2.5,7,4,1.0,2.0,1
42.0,34.0,2.0,4,4,1.0,1.5,0
50.0,42.0,1.5,4,4,0.75,1.5,0
56.0,50.0,3.5,9,9,0.5,1.0,0
67.0,56.0,3.0,9,9,0.5,1.0,0
69.0,67.0,1.5,4,4,1.0,1.5,0
85.0,69.0,2.5,9,9,0.5,0.75,0
92.0,85.0,1.5,3,4,0.5,0.75,0
101.5,92.0,1.5,3,4,0.25,0.75,0
102.0,101.5,1.0,6,6,3.0,6.0,0
103.0,102.0,1.0,3,4,0.25,0.75,0
105.0,103.0,2.0,3,3,0.25,0.5,0
114.0,105.0,1.0,3,2,0.25,1.0,0
115.0,114.0,1.0,1,1,1.0,2.0,0
116.0,115.0,1.0,1,1,1.0,1.5,0
