layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
38.0,0.0,1.0,9,5,2.0,5.0,0
60.0,38.0,4.0,9,9,0.5,1.0,0
73.0,60.0,3.0,9,9,0.5,1.0,0
80.0,73.0,2.5,9,9,0.75,1.0,0
101.0,80.0,2.0,9,9,0.75,1.25,0
115.0,101.0,1.5,9,9,1.0,1.5,0
140.0,115.0,1.0,9,9,1.0,2.0,0
141.0,140.0,1.0,9,6,2.0,4.0,0
145.0,141.0,1.5,9,5,1.5,2.5,0
164.8,145.0,1.0,9,9,1.0,2.0,0
165.0,164.8,2.5,7,4,0.5,0.5,1
169.0,165.0,1.0,4,4,1.0,1.5,0
169.8,169.0,1.0,9,5,2.0,3.0,0
170.0,169.8,3.0,4,7,0.5,0.75,1
179.0,170.0,1.0,4,4,0.5,1.0,0
180.0,179.0,1.5,4,4,0.5,0.75,0
186.0,180.0,1.0,4,4,0.5,0.75,0
191.0,186.0,1.0,4,4,0.75,1.0,0
191.2,191.0,1.5,4,4,0.5,1.0,0
191.9,191.2,1.0,4,5,0.5,1.0,0
192.0,191.9,1.0,4,7,0.5,0.5,0
