layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
44.0,0.0,1.5,9,5,1.5,2.5,0
49.0,44.0,3.0,9,7,1.25,1.75,0
60.0,49.0,2.5,9,9,0.75,1.0,0
81.0,60.0,2.0,9,4,0.75,1.25,0
82.0,81.0,2.5,9,9,0.75,0.75,0
93.8,82.0,2.0,9,9,0.75,1.0,0
94.0,93.8,1.5,7,9,0.75,1.25,1
97.5,94.0,1.5,4,9,0.75,1.25,0
98.0,97.5,1.0,4,2,1.0,1.5,0
103.0,98.0,2.0,3,4,0.5,0.75,0
109.0,103.0,3.0,3,4,0.5,0.5,0
110.8,109.0,1.0,3,4,0.5,0.75,0
111.0,110.8,1.5,7,3,0.25,0.25,1
120.0,111.0,1.0,2,3,0.5,1.0,0
122.5,120.0,1.5,3,3,0.25,0.5,0
123.0,122.5,2.0,3,4,0.5,0.75,0
