layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
20.0,0.0,1.0,9,5,2.0,4.0,0
51.5,20.0,1.0,9,5,1.5,2.5,0
52.0,51.5,1.0,9,6,1.5,3.5,0
61.0,52.0,1.5,9,4,1.0,2.0,0
62.0,61.0,2.0,4,9,0.75,1.0,0
71.0,62.0,1.5,4,9,1.0,1.5,0
78.5,71.0,1.5,4,9,0.75,1.5,0
79.5,78.5,1.0,4,4,1.0,2.0,0
80.0,79.5,2.5,4,7,0.5,1.0,0
88.0,80.0,2.0,4,4,0.75,1.0,0
105.0,88.0,1.0,4,4,0.75,1.25,0
109.5,105.0,2.0,3,4,0.5,0.75,0
110.0,109.5,1.0,4,1,1.0,2.0,0
117.0,110.0,3.0,3,3,0.25,0.5,0
120.0,117.0,3.5,3,3,0.5,0.5,0
121.0,120.0,1.0,3,2,0.5,0.75,0
123.0,121.0,2.0,3,2,0.5,0.75,0
129.2,123.0,1.0,3,2,0.5,1.0,0
130.0,129.2,1.0,4,6,1.0,8.0,0
132.0,130.0,1.5,3,2,0.5,1.0,0
142.0,132.0,1.0,2,2,0.75,1.5,0
146.0,142.0,1.0,1,0,0.75,2.0,0
