layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
11.5,0.0,2.5,4,4,1.0,1.5,0
12.0,11.5,3.5,7,4,1.0,1.5,1
13.0,12.0,1.0,4,4,1.0,1.5,0
20.0,13.0,1.5,4,4,0.75,1.25,0
27.0,20.0,2.0,4,4,0.75,1.0,0
37.0,27.0,2.5,4,3,0.25,0.5,0
41.0,37.0,2.0,4,3,0.5,0.75,0
70.5,41.0,2.5,4,3,0.5,0.75,0
70.9,70.5,2.0,3,4,0.25,0.5,0
71.5,70.9,2.5,3,3,0.25,0.25,0
72.0,71.5,2.0,3,4,0.25,0.5,0
81.0,72.0,3.5,3,3,0.25,0.5,0
87.0,81.0,1.0,3,2,0.25,0.5,0
98.0,87.0,1.5,2,3,0.5,0.75,0
109.0,98.0,1.0,1,2,1.0,2.5,0
