layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,2.0,9,9,1.0,2.0,0
42.0,10.0,3.5,9,9,1.0,1.5,0
48.0,42.0,1.5,9,5,2.0,3.0,0
65.0,48.0,3.0,9,9,0.75,1.5,0
69.5,65.0,1.0,9,5,1.5,2.5,0
71.0,69.5,3.0,7,4,1.0,2.0,1
84.0,71.0,1.0,9,5,1.0,2.5,0
85.0,84.0,3.5,7,4,1.0,1.5,1
89.0,85.0,1.0,5,9,2.0,4.0,0
91.0,89.0,5.0,7,7,1.0,2.0,1
93.0,91.0,3.0,7,4,1.0,2.0,1
96.5,93.0,4.0,7,7,1.0,2.0,1
97.0,96.5,3.0,7,4,1.0,2.0,1
105.0,97.0,1.5,3,0,0.25,2.0,0
109.0,105.0,4.5,7,7,0.5,1.0,1
120.0,109.0,1.0,3,2,0.5,1.0,0
