layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,2.5,7,5,2.0,4.0,0
21.0,10.0,1.0,9,9,1.5,3.0,0
23.0,21.0,3.5,4,7,1.0,2.0,1
30.0,23.0,1.0,9,5,2.0,4.0,0
43.0,30.0,3.5,9,9,1.0,1.5,0
52.0,43.0,1.5,9,9,2.0,3.0,0
78.0,52.0,2.0,9,9,1.0,2.0,0
95.0,78.0,1.0,9,9,1.0,2.0,0
106.0,95.0,1.0,9,5,1.0,2.0,0
107.0,106.0,1.0,9,6,3.0,10.0,0
113.0,107.0,1.5,9,9,1.0,1.5,0
123.5,113.0,1.0,9,9,1.0,2.0,0
124.0,123.5,2.0,4,7,0.5,1.0,1
134.7,124.0,1.0,4,9,0.75,1.5,0
135.0,134.7,2.0,7,7,0.5,0.5,1
144.7,135.0,1.0,4,4,0.5,1.0,0
145.0,144.7,2.5,7,7,0.5,0.5,1
148.7,145.0,1.0,4,5,0.75,1.5,0
149.2,148.7,1.0,5,5,1.0,2.0,0
149.3,149.2,1.5,7,7,1.5,1.5,1
150.0,149.3,1.0,6,6,6.0,8.0,0
152.0,150.0,1.0,1,4,0.75,1.5,0
