layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
36.5,0.0,1.0,5,9,2.0,3.0,0
37.0,36.5,6.0,8,8,0.0,0.0,0
47.0,37.0,4.0,9,9,1.0,1.5,0
58.0,47.0,3.0,4,7,1.0,2.0,1
59.0,58.0,3.5,4,7,1.0,2.0,1
79.0,59.0,4.0,9,9,0.5,1.0,0
85.0,79.0,2.0,9,9,0.75,1.5,0
99.0,85.0,4.0,9,9,0.75,1.0,0
103.0,99.0,2.0,9,9,1.0,1.5,0
122.0,103.0,3.0,4,9,0.5,1.0,0
129.5,122.0,1.0,4,9,1.0,2.0,0
130.0,129.5,2.0,4,7,1.0,2.0,1
131.0,130.0,1.0,4,4,1.5,2.5,0
132.0,131.0,1.0,6,6,10.0,12.0,0
137.0,132.0,2.5,4,4,0.5,0.75,0
153.0,137.0,1.0,4,4,0.5,1.0,0
173.5,153.0,3.5,3,4,0.25,0.75,0
173.8,173.5,3.0,4,7,0.5,0.5,1
174.0,173.8,1.0,4,4,0.5,0.5,0
