layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
4.0,0.0,3.0,9,7,1.5,2.0,0
22.0,4.0,1.0,9,5,2.0,3.0,0
45.0,22.0,1.5,9,9,0.75,1.25,0
62.0,45.0,1.5,9,9,0.75,1.25,0
65.0,62.0,3.5,7,4,0.75,1.0,1
79.0,65.0,1.5,9,9,0.75,1.0,0
90.0,79.0,1.0,9,9,0.75,1.5,0
95.0,90.0,1.5,4,4,0.75,1.25,0
99.0,95.0,1.0,4,4,0.75,1.0,0
108.0,99.0,2.0,4,4,0.75,1.0,0
116.0,108.0,1.0,4,4,0.75,1.0,0
118.0,116.0,3.0,3,7,0.5,0.75,0
132.0,118.0,1.0,4,3,0.5,1.0,0
134.8,132.0,1.0,2,2,1.0,2.0,0
135.0,134.8,1.0,6,1,1.0,2.0,0
