layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,1.5,9,5,2.0,3.0,0
43.0,15.0,1.0,9,5,1.5,2.5,0
60.0,43.0,3.5,9,9,0.75,1.5,0
70.0,60.0,1.5,9,9,1.0,1.5,0
70.7,70.0,1.0,9,9,1.0,2.0,0
71.0,70.7,2.0,7,7,1.0,2.0,1
77.0,71.0,1.0,9,9,1.0,1.0,0
90.0,77.0,1.5,9,9,0.75,1.25,0
97.0,90.0,2.5,9,9,0.75,1.0,0
98.0,97.0,1.5,4,9,0.75,1.5,0
107.0,98.0,3.0,3,3,0.5,0.5,0
113.3,107.0,2.5,3,3,0.5,0.5,0
113.8,113.3,2.0,3,4,0.5,0.75,0
114.0,113.8,1.0,3,1,0.5,2.0,0
123.0,114.0,2.0,3,2,0.5,0.75,0
136.7,123.0,1.0,2,2,0.5,1.25,0
137.0,136.7,1.0,2,2,0.5,1.0,0
138.5,137.0,1.0,3,2,0.5,1.0,0
140.0,138.5,2.5,7,7,0.25,0.25,1
145.0,140.0,2.0,3,3,0.25,0.5,0
146.0,145.0,1.0,2,3,0.5,1.0,0
146.1,146.0,1.0,2,1,1.0,1.5,0
158.0,146.1,1.0,3,2,0.5,0.75,0
161.5,158.0,2.0,3,3,0.25,0.5,0
162.0,161.5,1.5,3,1,0.5,2.0,0
