layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
19.0,0.0,1.0,5,9,2.0,3.0,0
29.0,19.0,2.5,9,9,1.0,1.5,0
47.0,29.0,1.0,9,9,1.0,2.0,0
52.0,47.0,2.5,7,4,1.0,1.5,1
53.0,52.0,1.0,5,9,1.5,3.0,0
54.0,53.0,1.5,7,4,1.0,2.0,1
57.0,54.0,1.0,5,9,1.0,2.5,0
77.7,57.0,1.0,4,9,0.75,1.5,0
78.0,77.7,2.0,4,7,1.0,1.0,1
84.0,78.0,1.0,4,9,0.75,1.0,0
89.0,84.0,3.0,4,7,1.0,2.0,1
100.0,89.0,1.0,4,9,0.5,1.0,0
103.0,100.0,3.0,7,4,0.5,1.0,1
106.0,103.0,1.0,3,4,0.5,0.75,0
107.0,106.0,2.5,4,7,0.5,0.75,1
121.0,107.0,1.0,3,2,0.25,0.75,0
122.0,121.0,2.0,3,7,0.5,0.5,1
137.0,122.0,1.0,3,2,0.5,1.0,0
139.0,137.0,2.5,7,3,0.5,0.75,1
140.0,139.0,1.0,1,0,0.25,1.0,0
