layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
30.0,0.0,4.0,3,9,0.5,1.0,0
53.0,30.0,3.0,9,9,1.0,1.5,0
67.0,53.0,1.5,9,9,1.25,2.0,0
68.0,67.0,2.5,7,4,1.0,2.0,1
83.0,68.0,2.5,9,9,0.75,1.25,0
92.5,83.0,1.5,9,9,0.75,1.5,0
93.0,92.5,2.5,7,4,1.0,2.0,1
113.0,93.0,1.0,9,4,1.0,2.0,0
115.0,113.0,1.0,5,9,2.0,3.0,0
117.0,115.0,3.0,7,4,1.5,2.5,1
125.0,117.0,1.0,9,9,0.75,1.5,0
129.0,125.0,4.0,7,4,1.0,2.0,1
138.5,129.0,1.0,4,3,0.5,1.0,0
139.0,138.5,2.0,3,4,0.5,0.5,0
146.0,139.0,1.0,3,4,0.5,0.75,0
148.5,146.0,3.0,7,4,0.75,1.5,1
150.0,148.5,4.0,7,4,0.75,1.5,1
