layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
28.0,0.0,4.0,9,9,0.5,1.0,0
40.0,28.0,3.5,9,9,0.75,1.0,0
58.0,40.0,3.0,9,9,0.75,1.5,0
64.0,58.0,2.0,4,9,1.0,1.5,0
68.5,64.0,1.5,4,9,1.0,1.5,0
69.0,68.5,1.0,9,5,1.5,2.5,0
88.0,69.0,2.5,4,9,0.75,1.0,0
105.0,88.0,1.5,4,4,1.0,1.5,0
111.0,105.0,1.0,4,4,1.0,2.0,0
111.5,111.0,1.0,5,4,1.5,3.0,0
112.5,111.5,2.5,4,3,0.5,0.75,0
114.0,112.5,1.0,4,3,0.5,1.0,0
120.0,114.0,1.5,3,2,0.5,0.75,0
124.5,120.0,1.0,3,2,0.5,1.0,0
125.0,124.5,2.5,7,3,0.5,0.75,1
130.0,125.0,1.0,3,2,0.5,1.0,0
137.0,130.0,2.0,3,3,0.25,0.5,0
141.0,137.0,1.0,1,2,1.0,2.0,0
