layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
6.0,0.0,2.0,7,5,1.5,3.0,0
30.0,6.0,4.0,9,9,0.5,1.0,0
54.0,30.0,3.5,9,3,0.75,0.75,0
73.0,54.0,3.0,9,9,0.75,1.0,0
85.0,73.0,1.5,4,9,0.75,1.5,0
90.0,85.0,3.0,3,4,0.5,0.75,0
107.0,90.0,2.0,4,9,0.75,1.0,0
120.0,107.0,1.5,4,4,0.75,1.0,0
137.3,120.0,1.0,4,4,0.75,1.0,0
137.8,137.3,1.0,4,4,0.75,1.5,0
138.0,137.8,2.0,7,4,0.5,1.0,1
140.5,138.0,1.0,3,2,0.5,1.0,0
141.0,140.5,2.5,7,7,0.5,0.5,1
147.0,141.0,1.5,3,2,0.25,0.75,0
160.0,147.0,1.0,2,3,0.5,1.0,0
164.0,160.0,2.0,3,0,0.5,1.0,0
