layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
18.0,0.0,2.0,9,9,1.0,1.5,0
55.0,18.0,3.5,3,9,0.5,1.0,0
80.0,55.0,3.0,9,9,0.75,1.0,0
95.5,80.0,2.0,9,9,0.75,1.0,0
96.0,95.5,1.5,9,9,0.5,1.5,0
100.0,96.0,3.5,9,9,0.5,1.0,0
129.0,100.0,3.0,4,9,0.75,1.0,0
135.0,129.0,1.5,4,9,0.75,1.25,0
139.0,135.0,2.0,4,3,0.5,1.0,0
149.0,139.0,1.0,4,4,0.75,1.25,0
149.5,149.0,1.0,4,4,1.0,1.5,0
151.0,149.5,1.5,4,3,0.5,0.75,0
158.0,151.0,2.5,3,3,0.5,0.5,0
162.0,158.0,1.0,3,2,0.5,1.0,0
163.0,162.0,1.5,3,0,0.5,2.0,0
175.0,163.0,3.5,3,2,0.5,0.75,0
187.2,175.0,1.0,3,2,0.5,1.0,0
188.0,187.2,1.0,6,6,2.0,5.0,0
193.0,188.0,3.0,3,2,0.5,0.75,0
197.0,193.0,1.0,2,0,0.5,1.5,0
