layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15,0,1.5,5,9,1.5,3.0,0
35,15,2.5,9,9,0.75,1.25,0
50,35,2.0,9,9,1.0,1.5,0
59,50,2.0,9,9,0.75,1.25,0
60,59,2.5,7,4,1.0,1.5,1
64,60,1.5,5,9,1.5,2.0,0
66,64,3.0,7,4,1.0,1.5,1
69,66,1.0,5,9,1.5,3.0,0
84,69,2.0,4,9,0.75,1.0,0
98,84,1.0,4,9,1.0,1.5,0
122,98,2.0,4,9,0.75,1.0,0
135,122,1.0,9,9,0.75,1.0,0
140,135,1.0,9,5,1.0,2.0,0
144,140,3.0,7,4,1.0,1.5,1
165,144,1.0,3,2,0.25,0.5,0
169,165,2.5,7,7,0.5,0.75,1
175,169,1.0,3,3,0.25,0.5,0
177,175,3.0,7,7,0.5,1.0,1
178,177,1.0,7,7,0.5,0.75,0
