layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,3.0,9,9,1.0,2.0,0
25.0,10.0,2.0,9,9,1.0,2.0,0
27.0,25.0,4.0,7,4,1.0,2.0,1
40.0,27.0,2.5,9,9,0.75,1.5,0
47.5,40.0,1.5,9,9,0.75,1.5,0
49.0,47.5,3.5,7,4,1.0,1.5,1
54.0,49.0,2.5,9,9,0.75,0.75,0
55.0,54.0,2.0,7,4,0.75,1.0,1
65.0,55.0,4.0,3,3,0.25,0.5,0
86.0,65.0,1.5,3,4,0.5,0.75,0
91.0,86.0,2.0,3,4,0.5,0.5,0
102.0,91.0,1.5,4,2,0.5,1.0,0
120.5,102.0,1.0,4,2,0.5,1.0,0
121.5,120.5,1.0,6,6,8.0,8.0,0
122.0,121.5,1.0,1,0,0.75,1.0,0
