layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0,1.0,4,9,0.75,1.25,0
30.0,15,2.0,4,9,1.0,1.0,0
32.0,30,4.0,7,7,1.0,1.5,1
42.0,32,2.5,4,9,0.5,1.0,0
51.0,42,2.0,4,7,0.5,0.75,0
60.0,51,2.5,3,3,0.5,0.5,0
62.0,60,1.5,7,4,0.5,1.0,0
63.0,62,2.5,7,7,0.5,1.0,1
74.0,63,3.0,3,3,0.25,0.25,0
80.0,74,2.5,3,3,0.25,0.5,0
100.0,80,2.0,3,2,0.25,0.5,0
110.0,100,1.0,3,2,0.25,0.75,0
124.0,110,3.0,3,3,0.25,0.25,0
131.0,124,2.0,3,3,0.25,0.25,0
144.0,131,1.0,3,3,0.25,0.5,0
146.0,144,1.5,3,4,0.25,0.5,0
149.0,146,1.0,3,4,0.5,1.0,0
149.1,149,1.0,6,6,1.0,2.0,0
