layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,2.0,9,9,1.0,1.5,0
33.0,15.0,1.5,9,9,1.0,2.0,0
63.0,33.0,2.5,9,9,0.75,1.0,0
79.7,63.0,3.5,3,3,0.5,0.5,0
80.0,79.7,2.0,9,9,0.75,1.5,0
89.0,80.0,3.5,9,3,0.5,1.0,0
99.0,89.0,3.0,9,3,0.5,1.0,0
100.0,99.0,1.0,9,9,0.75,1.5,0
117.8,100.0,3.5,3,3,0.5,0.5,0
118.0,117.8,2.0,0,0,1.0,2.0,0
122.3,118.0,3.0,3,3,0.5,0.5,0
123.0,122.3,1.5,0,7,1.5,3.0,0
123.5,123.0,2.5,7,7,0.5,1.0,1
125.0,123.5,1.5,0,7,1.0,2.0,0
142.0,125.0,2.5,3,3,0.5,0.5,0
160.0,142.0,2.0,3,3,0.25,0.5,0
174.8,160.0,1.5,3,3,0.25,0.5,0
175.0,174.8,2.0,7,7,0.5,0.5,1
190.0,175.0,1.0,3,2,0.25,1.0,0
200.0,190.0,1.0,1,2,1.0,2.0,0
