layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
27.0,0.0,1.0,5,5,2.0,5.0,0
48.0,27.0,1.0,5,5,2.0,3.0,0
73.0,48.0,1.5,5,4,2.0,2.0,0
109.0,73.0,2.5,4,9,1.0,2.0,0
111.0,109.0,2.0,4,4,1.0,2.5,0
118.0,111.0,2.5,4,4,1.0,2.0,0
122.0,118.0,2.0,4,9,1.0,1.0,0
135.0,122.0,3.0,4,4,1.0,1.5,0
141.0,135.0,1.5,4,4,1.0,3.0,0
146.0,141.0,3.0,4,9,1.0,3.0,0
149.0,146.0,1.5,4,5,2.0,3.0,0
155.0,149.0,3.0,4,9,1.0,2.0,0
168.0,155.0,1.5,4,2,1.0,1.0,0
172.0,168.0,1.5,4,9,0.5,1.5,0
173.5,172.0,1.0,4,2,0.5,0.5,0
174.0,173.5,1.5,6,6,2.0,5.0,0
