layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
29.0,0.0,1.5,5,9,4.0,6.0,0
30.0,29.0,2.0,7,5,2.0,2.0,1
36.5,30.0,1.0,5,9,3.0,4.0,0
37.0,36.5,3.0,7,4,1.0,2.0,1
40.0,37.0,1.0,9,5,1.0,2.0,0
46.0,40.0,2.5,9,9,0.75,0.75,0
53.0,46.0,1.5,9,9,0.75,1.25,0
55.0,53.0,1.0,9,9,0.75,1.25,0
61.0,55.0,2.5,9,9,0.75,0.75,0
71.0,61.0,2.0,9,9,0.75,1.0,0
74.0,71.0,1.0,9,4,0.75,1.5,0
77.0,74.0,2.0,9,9,0.5,0.75,0
88.7,77.0,1.0,9,4,0.75,1.0,0
89.0,88.7,1.0,9,6,1.0,2.0,0
90.8,89.0,2.0,4,2,0.5,1.0,0
91.0,90.8,1.5,7,7,0.5,0.5,1
96.0,91.0,1.0,4,2,0.5,1.0,0
98.3,96.0,2.0,3,2,0.5,1.0,0
99.8,98.3,1.0,2,1,1.0,2.0,0
100.0,99.8,1.5,7,7,0.25,0.5,1
102.7,100.0,1.0,2,3,0.5,1.0,0
103.0,102.7,2.0,7,7,0.5,0.5,1
