layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
23.0,0.0,1.0,9,5,2.0,3.0,0
38.0,23.0,3.5,9,9,0.75,1.25,0
45.0,38.0,1.0,9,5,1.5,2.5,0
49.0,45.0,2.0,9,7,1.0,2.0,0
66.0,49.0,1.5,9,9,1.0,2.0,0
68.0,66.0,4.0,7,7,1.0,2.0,1
72.0,68.0,1.0,9,7,1.0,2.0,0
76.0,72.0,3.5,7,7,0.75,1.5,1
82.0,76.0,2.0,3,2,0.25,0.75,0
90.0,82.0,1.0,3,2,0.5,1.0,0
92.0,90.0,2.5,7,7,0.75,1.0,1
96.7,92.0,1.0,3,3,0.25,0.5,0
97.0,96.7,1.0,2,3,0.5,1.5,0
102.0,97.0,1.0,3,2,0.5,0.75,0
104.0,102.0,3.5,7,7,0.5,1.0,1
114.0,104.0,1.0,1,2,1.0,2.0,0
116.0,114.0,2.0,2,0,0.5,2.0,0
