layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,1.5,9,5,1.5,2.5,0
35.0,10.0,2.5,9,9,0.75,1.5,0
45.0,35.0,2.0,9,9,1.0,1.5,0
60.0,45.0,1.5,9,9,1.0,2.0,0
69.0,60.0,3.0,9,9,1.0,1.5,0
80.0,69.0,1.0,9,5,1.5,2.5,0
93.0,80.0,3.0,9,9,1.0,1.0,0
115.0,93.0,1.0,4,9,1.0,2.0,0
121.0,115.0,3.0,3,3,0.5,0.5,0
128.0,121.0,2.0,3,3,0.5,0.5,0
132.5,128.0,3.0,3,3,0.5,0.5,0
133.8,132.5,1.0,3,2,0.5,1.0,0
134.0,133.8,1.0,6,6,3.0,5.0,0
136.0,134.0,3.0,3,3,0.5,0.5,0
137.0,136.0,2.0,3,2,0.5,0.75,0
146.0,137.0,3.0,3,3,0.5,0.5,0
154.5,146.0,1.0,3,2,0.5,1.0,0
155.0,154.5,2.0,3,3,0.5,0.5,0
165.8,155.0,1.0,3,2,0.5,0.75,0
166.0,165.8,1.0,6,6,1.0,1.0,0
