layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
128.0,126.5,4.0,7,7,1.0,1.0,1
136.0,128.0,3.0,9,9,0.5,0.75,0
142.0,136.0,2.0,9,9,0.75,0.75,0
143.5,142.0,1.0,9,9,0.75,1.0,0
144.0,143.5,1.0,9,6,2.0,4.0,0
165.0,144.0,3.5,3,3,0.5,0.5,0
176.0,165.0,3.0,3,9,0.5,0.75,0
185.0,176.0,2.0,3,4,0.5,0.75,0
194.0,185.0,2.5,3,3,0.5,0.5,0
195.5,194.0,1.0,9,4,0.75,1.0,0
196.0,195.5,3.0,7,7,0.5,0.75,1
199.0,196.0,1.0,4,3,0.5,0.75,0
208.0,199.0,1.5,3,3,0.25,0.5,0
217.0,208.0,1.0,2,3,0.5,1.0,0
220.0,217.0,1.0,2,3,0.5,0.75,0
