layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
7.0,0.0,1.0,9,9,1.0,2.0,0
15.0,7.0,3.5,7,4,0.75,1.25,1
16.0,15.0,1.0,4,5,1.0,3.0,0
17.0,16.0,3.0,7,4,1.0,2.0,1
19.0,17.0,1.0,5,4,1.0,3.0,0
20.0,19.0,2.0,5,5,2.0,4.0,0
21.0,20.0,3.0,7,4,0.75,1.0,1
26.0,21.0,1.5,4,9,0.75,1.25,0
34.0,26.0,2.0,4,3,0.75,1.0,0
44.0,34.0,2.0,4,3,0.75,1.25,0
67.0,44.0,2.5,3,3,0.5,0.75,0
70.0,67.0,2.0,3,3,0.25,0.5,0
75.0,70.0,3.5,3,3,0.25,0.75,0
78.5,75.0,1.0,3,3,0.25,0.5,0
79.0,78.5,1.5,3,3,0.25,0.5,0
94.8,79.0,1.0,2,3,0.25,0.75,0
95.0,94.8,1.0,2,1,1.0,2.0,0
