layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
12.0,0.0,1.0,7,5,2.0,3.0,0
27.0,12.0,2.0,9,7,2.0,3.0,0
42.0,27.0,1.0,9,9,1.0,2.0,0
64.0,42.0,4.0,4,7,1.0,1.5,0
77.0,64.0,2.5,4,7,1.5,3.0,0
102.0,77.0,1.0,9,5,1.5,3.0,0
121.0,102.0,1.0,9,5,1.5,2.5,0
123.0,121.0,2.0,4,4,1.0,1.5,0
132.0,123.0,1.0,4,5,1.0,2.0,0
138.7,132.0,1.0,4,4,0.5,1.0,0
139.0,138.7,2.0,4,7,0.5,1.0,1
155.0,139.0,1.0,4,4,0.5,0.75,0
170.5,155.0,1.0,4,4,0.5,1.0,0
173.0,170.5,1.0,4,4,0.5,0.75,0
175.0,173.0,1.0,3,4,0.25,0.75,0
