layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
28.0,0.0,1.5,9,5,1.5,2.5,0
56.0,28.0,3.5,9,7,1.0,1.0,0
59.0,56.0,1.0,9,9,0.75,1.0,0
73.0,59.0,2.0,9,9,1.0,1.5,0
76.0,73.0,3.0,4,9,0.75,1.0,0
84.0,76.0,2.0,4,9,0.75,1.0,0
93.5,84.0,1.0,4,9,0.75,1.5,0
94.0,93.5,3.0,7,4,1.0,1.0,1
103.0,94.0,1.0,4,4,1.0,1.0,0
104.0,103.0,1.0,6,6,6.0,12.0,0
108.0,104.0,2.0,4,4,0.75,1.0,0
115.0,108.0,1.0,4,4,0.75,1.25,0
120.0,115.0,2.0,4,4,0.75,1.0,0
125.5,120.0,1.0,3,4,0.5,1.0,0
126.0,125.5,1.5,3,4,0.25,0.5,0
130.0,126.0,1.0,3,4,0.25,0.75,0
131.0,130.0,2.0,3,3,0.25,0.25,0
131.8,131.0,1.0,3,3,0.25,0.25,0
132.0,131.8,2.0,3,3,0.25,0.25,0
