layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,2.0,5,7,2.0,4.0,0
32.0,10.0,1.5,9,9,1.0,2.0,0
35.0,32.0,2.5,4,7,1.5,3.0,1
64.5,35.0,1.0,9,5,1.5,3.0,0
66.0,64.5,3.5,4,7,1.0,2.0,1
78.0,66.0,1.0,9,9,1.0,1.5,0
80.0,78.0,4.0,4,7,1.0,2.0,1
86.8,80.0,2.0,3,4,0.5,0.75,0
87.0,86.8,3.0,7,7,0.5,0.5,1
94.0,87.0,2.5,3,4,0.5,0.75,0
100.0,94.0,2.0,3,4,0.5,0.75,0
127.7,100.0,3.0,3,3,0.5,0.5,0
128.0,127.7,4.0,7,7,1.0,1.0,1
135.0,128.0,1.0,4,4,0.5,1.0,0
136.3,135.0,3.5,4,7,1.0,1.5,1
137.0,136.3,1.0,5,6,2.0,6.0,0
138.0,137.0,1.0,4,4,0.5,1.0,0
