layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,1.0,5,9,2.0,4.0,0
20.0,10.0,3.5,9,9,0.75,1.5,0
50.0,20.0,2.5,9,9,1.5,2.5,0
63.0,50.0,2.0,9,9,1.5,2.5,0
77.0,63.0,1.0,9,5,1.5,2.5,0
79.0,77.0,1.0,5,9,2.0,3.0,0
80.0,79.0,2.5,7,4,1.0,1.5,1
85.0,80.0,2.0,9,9,0.75,1.25,0
89.5,85.0,1.0,9,9,0.75,1.5,0
91.0,89.5,3.0,7,4,0.5,1.0,1
98.5,91.0,1.0,4,3,0.5,1.0,0
100.0,98.5,2.5,7,7,0.5,1.0,1
110.0,100.0,1.5,3,2,0.5,1.0,0
122.0,110.0,1.0,3,3,0.5,0.5,0
123.0,122.0,2.5,7,4,0.5,1.0,1
