layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
8.0,0.0,5.0,7,9,1.0,1.5,1
17.0,8.0,3.0,4,9,0.75,1.0,0
19.0,17.0,1.0,4,4,1.0,1.15,0
22.0,19.0,4.0,7,9,1.0,1.5,1
23.0,22.0,1.0,4,9,1.0,1.5,0
27.3,23.0,2.0,9,4,0.5,1.0,0
30.0,27.3,6.0,8,8,,,0
33.0,30.0,2.0,4,4,0.5,0.75,0
34.0,33.0,1.0,4,4,0.75,1.0,0
38.5,34.0,4.0,7,4,1.0,2.0,1
39.0,38.5,1.0,4,6,1.0,2.0,0
45.5,39.0,2.0,3,4,0.25,0.5,0
46.0,45.5,3.0,4,4,0.5,0.75,0
48.0,46.0,4.0,7,4,0.75,1.25,1
56.0,48.0,2.0,3,3,0.25,0.5,0
64.0,56.0,1.5,2,3,0.5,0.75,0
73.0,64.0,1.0,2,1,1.0,1.25,0
