layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
7.0,0.0,1.0,9,5,1.5,3.0,0
16.0,7.0,2.0,9,9,0.75,1.0,0
22.0,16.0,1.0,9,5,1.0,2.0,0
33.0,22.0,2.5,4,9,0.75,1.0,0
46.0,33.0,2.0,4,9,1.0,1.5,0
61.0,46.0,1.0,9,5,1.0,2.0,0
63.0,61.0,2.5,7,4,1.0,2.0,0
64.0,63.0,1.0,5,9,1.5,2.5,0
65.0,64.0,2.0,4,7,1.0,2.0,1
74.0,65.0,1.0,5,9,1.5,3.0,0
76.0,74.0,2.0,4,9,1.0,2.0,0
85.0,76.0,1.0,9,5,1.5,3.0,0
88.0,85.0,2.0,4,7,1.0,2.0,0
92.0,88.0,1.0,5,9,1.0,2.5,0
109.5,92.0,1.0,4,4,0.5,0.75,0
110.0,109.5,2.0,3,7,0.5,0.5,0
126.0,110.0,1.0,3,2,0.25,0.75,0
127.0,126.0,1.0,0,0,1.0,1.0,0
133.0,127.0,1.5,3,2,0.25,0.75,0
142.0,133.0,1.0,3,2,0.5,1.0,0
