layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,1.0,9,5,1.5,3.0,0
30.0,15.0,2.0,9,9,1.0,2.0,0
45.0,30.0,2.5,9,9,0.5,1.0,0
65.0,45.0,1.5,9,9,1.0,2.0,0
89.0,65.0,1.0,9,5,1.0,2.0,0
91.0,89.0,3.0,3,3,0.5,0.5,0
99.0,91.0,1.5,9,9,0.75,1.5,0
105.0,99.0,2.5,9,9,0.5,1.0,0
109.0,105.0,1.5,9,9,0.5,1.0,0
110.0,109.0,2.5,7,4,0.75,1.5,1
119.0,110.0,2.0,9,9,0.5,1.0,0
120.5,119.0,1.0,9,9,0.75,1.25,0
121.0,120.5,1.0,9,9,0.75,1.5,0
137.0,121.0,2.5,3,3,0.5,0.5,0
140.0,137.0,1.5,2,3,0.5,1.5,0
158.0,140.0,1.0,3,2,0.5,1.0,0
172.0,158.0,2.0,2,3,0.5,1.0,0
180.0,172.0,1.0,2,3,0.5,1.0,0
186.0,180.0,2.0,3,2,0.5,1.0,0
