layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
14.0,0.0,1.0,9,5,2.0,3.0,0
22.0,14.0,2.0,9,5,2.5,4.0,0
30.0,22.0,1.0,9,5,2.0,4.0,0
31.0,30.0,2.0,7,4,2.0,2.0,1
49.0,31.0,1.0,9,5,2.0,3.0,0
51.0,49.0,2.5,7,4,1.0,2.0,1
73.0,51.0,1.5,9,5,1.25,2.5,0
83.5,73.0,1.0,9,5,1.0,2.0,0
85.0,83.5,4.0,7,4,0.75,1.0,1
92.0,85.0,1.0,4,4,0.75,1.5,0
98.5,92.0,2.0,3,4,0.5,0.75,0
99.0,98.5,1.0,4,3,0.5,0.75,0
100.0,99.0,3.0,7,3,0.5,0.5,1
107.0,100.0,1.0,2,4,0.75,1.0,0
108.5,107.0,3.5,7,4,0.5,0.75,1
109.0,108.5,1.0,4,2,0.75,1.0,0
