layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
24.0,0.0,3.0,9,9,0.75,1.5,0
35.0,24.0,2.0,9,5,2.0,4.0,0
36.0,35.0,4.0,4,7,1.0,2.0,1
44.0,36.0,1.5,9,5,2.0,3.0,0
53.0,44.0,2.5,4,7,1.0,2.0,1
53.7,53.0,1.5,9,6,3.0,8.0,0
55.0,53.7,2.0,9,7,1.0,1.0,0
70.0,55.0,1.0,5,9,1.5,2.5,0
77.0,70.0,1.0,9,9,1.0,2.0,0
80.0,77.0,4.0,4,7,0.75,1.5,1
81.0,80.0,2.0,4,7,0.5,0.75,0
86.2,81.0,1.5,4,4,0.5,1.0,0
87.0,86.2,2.5,7,7,0.5,0.75,0
88.7,87.0,1.0,4,4,0.5,1.0,0
89.0,88.7,3.0,7,7,0.5,0.5,1
106.0,89.0,2.5,3,3,0.25,0.5,0
135.0,106.0,2.0,3,3,0.25,0.5,0
143.0,135.0,1.0,3,3,0.25,0.5,0
144.0,143.0,1.0,2,1,0.25,0.5,0
