layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
7.0,0.0,2.0,5,7,3.0,6.0,0
14.3,7.0,1.0,5,9,3.0,5.0,0
15.0,14.3,2.0,7,5,1.0,2.0,1
30.3,15.0,1.0,9,5,2.0,4.0,0
31.0,30.3,2.0,4,7,1.0,1.5,1
39.5,31.0,1.0,9,5,1.5,2.5,0
40.0,39.5,2.0,4,7,1.0,1.0,1
52.6,40.0,1.0,9,9,1.0,1.0,0
53.0,52.6,2.5,4,7,0.75,1.25,1
56.0,53.0,1.0,9,9,0.75,1.25,0
67.0,56.0,3.0,3,3,0.5,0.5,0
74.0,67.0,2.0,3,4,0.5,0.75,0
82.5,74.0,1.0,4,4,0.5,1.0,0
85.0,82.5,1.0,4,4,0.75,1.25,0
86.5,85.0,1.5,4,5,0.75,1.5,0
87.0,86.5,1.0,5,6,2.0,5.0,0
88.0,87.0,1.0,4,5,0.5,1.0,0
