layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
47.0,0.0,1.5,9,9,1.0,3.0,0
55.0,47.0,1.0,9,9,1.0,2.0,0
90.0,55.0,2.0,9,9,0.75,1.5,0
100.8,90.0,2.5,9,9,0.5,1.0,0
101.0,100.8,3.0,4,7,1.0,1.0,1
105.0,101.0,2.5,9,9,0.5,0.75,0
111.0,105.0,3.5,3,3,0.25,0.5,0
140.0,111.0,3.0,3,3,0.5,0.5,0
172.0,140.0,2.5,3,3,0.25,0.5,0
184.0,172.0,2.0,3,3,0.25,0.5,0
189.0,184.0,1.0,4,4,0.5,0.75,0
198.0,189.0,1.0,4,2,0.75,1.0,0
198.9,198.0,1.0,4,5,0.75,1.5,0
199.0,198.9,1.5,4,7,0.75,1.0,1
201.0,199.0,1.0,1,4,0.75,1.5,0
