layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,1.5,9,5,1.5,3.0,0
22.0,15.0,3.0,9,9,0.75,1.5,0
53.0,22.0,4.0,9,9,0.5,1.0,0
68.0,53.0,1.0,9,4,1.0,2.0,0
68.5,68.0,2.5,7,4,1.0,1.5,1
69.7,68.5,2.0,9,9,0.75,1.5,0
70.0,69.7,1.5,9,5,1.0,1.5,0
77.0,70.0,3.0,9,9,0.75,1.0,0
92.0,77.0,2.0,9,9,0.75,1.25,0
99.0,92.0,1.0,9,4,0.75,1.5,0
100.0,99.0,1.0,9,5,1.0,2.0,0
102.0,100.0,2.5,9,9,0.5,0.75,0
107.0,102.0,2.0,9,9,0.75,1.25,0
114.5,107.0,1.5,9,9,0.5,1.0,0
115.0,114.5,1.0,9,9,0.75,1.5,0
116.0,115.0,3.0,7,7,0.5,1.25,1
123.0,116.0,2.5,3,9,0.5,0.75,0
125.7,123.0,1.5,9,4,0.5,1.0,0
126.0,125.7,1.0,9,4,0.75,1.0,0
142.0,126.0,3.5,3,3,0.25,0.5,0
165.0,142.0,2.0,3,2,0.5,1.0,0
177.0,165.0,2.0,3,2,0.25,0.75,0
184.5,177.0,1.0,3,2,0.5,1.0,0
185.0,184.5,2.5,3,7,0.5,0.5,0
186.0,185.0,1.0,2,0,0.75,1.5,0
