layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
10.0,0.0,4.0,5,7,1.0,2.0,1
15.0,10.0,3.5,3,3,0.5,0.5,0
20.0,15.0,2.0,7,7,1.0,2.0,1
65.0,20.0,4.5,3,3,0.25,0.25,0
78.0,65.0,4.0,3,3,0.25,0.5,0
80.0,78.0,3.5,7,7,1.0,1.0,1
124.0,80.0,4.0,3,3,0.25,0.5,0
128.0,124.0,2.5,3,3,0.5,0.5,0
150.0,128.0,3.5,3,3,0.25,0.5,0
166.7,150.0,2.0,3,3,0.5,0.5,0
167.0,166.7,2.0,7,7,0.5,0.5,1
178.0,167.0,1.5,4,3,0.5,1.0,0
192.0,178.0,1.0,4,4,0.5,0.75,0
193.0,192.0,2.5,3,4,1.5,1.5,0
193.2,193.0,1.0,6,6,1.0,2.0,0
