layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
15.0,0.0,1.0,5,9,3.0,4.0,0
50.0,15.0,3.0,7,4,1.0,2.0,1
53.0,50.0,1.0,9,5,2.0,3.0,0
56.0,53.0,2.5,7,4,2.0,2.5,1
57.0,56.0,1.0,9,5,1.0,1.5,0
59.0,57.0,2.0,7,5,2.0,2.0,1
74.0,59.0,1.0,9,5,2.0,3.0,0
77.0,74.0,2.5,7,4,0.75,1.5,1
79.0,77.0,1.0,9,4,1.0,1.5,0
80.0,79.0,2.5,7,4,1.0,1.5,1
82.5,80.0,1.0,4,9,1.0,2.0,0
83.0,82.5,2.0,7,4,0.75,0.75,1
91.0,83.0,1.0,4,4,0.75,1.0,0
100.0,91.0,2.5,3,2,0.5,0.75,0
110.0,100.0,1.5,3,2,0.5,0.75,0
117.0,110.0,2.0,3,3,0.5,0.5,0
118.0,117.0,2.5,3,3,0.5,0.5,0
125.0,118.0,1.0,3,2,0.25,0.75,0
