layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
12.0,0.0,2.5,9,5,1.0,3.0,0
18.5,12.0,1.0,4,5,1.0,2.0,0
20.0,18.5,2.5,9,7,1.0,2.0,0
24.5,20.0,1.0,4,9,1.0,2.0,0
26.0,24.5,2.5,9,7,1.0,1.5,0
28.0,26.0,1.0,9,4,1.0,1.5,0
35.0,28.0,2.0,4,9,0.5,1.0,0
40.0,35.0,2.5,9,9,0.5,0.75,0
44.0,40.0,2.5,3,4,0.25,0.75,0
56.0,44.0,2.0,3,4,0.25,0.5,0
66.0,56.0,2.0,3,3,0.25,0.5,0
74.0,66.0,1.5,2,3,0.5,0.75,0
80.0,74.0,1.5,2,3,0.5,1.0,0
98.0,80.0,2.0,3,2,0.25,0.75,0
107.0,98.0,1.5,2,3,0.5,1.0,0
112.0,107.0,1.0,1,1,1.0,2.0,0
