layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
36.5,0.0,4.0,4,4,0.25,0.75,0
37.0,36.5,3.5,4,9,0.75,1.25,0
59.0,37.0,3.0,4,4,0.5,1.0,0
80.0,59.0,2.5,4,4,0.5,1.25,0
82.5,80.0,1.5,4,5,0.75,1.25,0
83.0,82.5,2.5,7,4,0.5,1.25,1
103.0,83.0,1.0,4,4,1.0,1.5,0
120.5,103.0,2.5,4,4,0.5,0.75,0
121.0,120.5,3.0,7,4,0.5,1.0,1
123.0,121.0,2.0,3,3,0.25,0.5,0
139.0,123.0,2.5,3,2,0.25,0.75,0
147.0,139.0,1.5,3,2,0.25,0.5,0
173.0,147.0,2.0,3,3,0.5,0.75,0
186.0,173.0,2.5,3,2,0.25,0.5,0
197.0,186.0,1.0,2,2,0.5,0.75,0
201.0,197.0,1.0,2,2,0.25,0.5,0
