layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
17.0,0.0,2.5,9,9,1.0,2.0,0
36.0,17.0,3.5,3,9,0.5,0.75,0
78.0,36.0,3.5,7,4,1.0,1.5,1
87.0,78.0,2.0,9,9,0.75,1.0,0
88.0,87.0,2.5,4,7,1.0,1.0,1
99.0,88.0,2.0,9,9,0.75,1.5,0
100.0,99.0,2.5,4,9,0.75,1.0,0
109.0,100.0,2.0,3,4,0.5,0.75,0
110.0,109.0,1.0,6,6,8.0,12.0,0
114.0,110.0,2.0,3,4,0.5,0.75,0
118.0,114.0,1.0,4,4,0.75,1.25,0
125.0,118.0,2.5,4,4,0.5,1.0,0
133.0,125.0,2.0,4,4,0.5,0.75,0
142.0,133.0,1.0,4,4,0.5,0.75,0
149.0,142.0,1.0,3,4,0.25,0.75,0
150.0,149.0,1.0,2,1,1.0,2.0,0
154.8,150.0,1.0,3,3,0.25,0.5,0
155.0,154.8,2.0,3,3,0.25,0.25,0
