layer_top,layer_bottom,hardness,gt1,gt2,gs1,gs2,crust
49.0,0.0,1.5,9,4,1.0,2.0,0
62.0,49.0,1.0,9,4,0.75,1.5,0
63.0,62.0,4.0,7,4,1.0,1.5,1
86.0,63.0,2.5,9,9,0.75,1.0,0
89.0,86.0,3.5,7,4,1.0,1.5,1
95.5,89.0,2.0,9,9,0.75,1.5,0
97.0,95.5,2.5,7,4,1.0,1.5,1
99.0,97.0,1.5,9,9,0.75,1.5,0
109.0,99.0,3.0,9,9,0.5,0.75,0
110.0,109.0,4.0,7,4,1.0,1.0,1
116.0,110.0,2.0,9,9,0.5,1.0,0
118.0,116.0,4.0,7,4,0.75,1.5,1
126.0,118.0,2.5,9,2,0.5,1.0,0
141.0,126.0,3.0,3,3,0.5,0.5,0
150.7,141.0,1.5,3,2,0.5,1.0,0
151.0,150.7,2.5,7,4,0.5,1.25,1
161.5,151.0,1.5,3,3,0.5,0.5,0
162.0,161.5,2.0,7,4,0.5,1.0,1
184.0,162.0,1.5,3,2,0.5,1.0,0
192.0,184.0,1.0,3,2,0.5,1.0,0
194.0,192.0,2.0,2,3,0.5,1.5,0
197.0,194.0,1.0,1,1,1.5,2.5,0
